ipc,context_switches(K/s),cpu_migrations(/s),page_faults(/s),branches(M/s),branch_misses(%),L1_dcache_loads(M/sec),r_procs,b_procs,swap(KB),free(KB),buffers(KB),cached(KB),swap_in(KB/s),swap_out(KB/s),interrupts(/s),user_time(%),idle_time(%),iowait_time(%),avg-latency(ms)
0.62,6.289,29.55,6837.248,196.997,2.47,275.156,10.2,0.0,1036.0,2070656.0,201200.8,3231906.4,0.0,0.0,13439.6,28.6,2.0,0.2,10.418773734051248
0.68,6.247,40.651,46892.032,256.887,1.83,332.352,10.6,0.0,1067564.8,833146.4,49339.2,666633.6,8108.8,86004.0,16463.2,29.0,2.4,0.8,8.284078466481175
0.71,6.235,33.959,35604.48,257.563,2.09,340.019,10.6,0.8,1127167.2,789493.6,35756.0,403806.4,18968.8,69960.0,14144.6,30.6,2.0,0.8,10.376468249258286
0.78,6.748,37.103,34550.784,289.643,1.81,379.816,11.4,0.2,1102831.2,1367148.8,39134.4,405601.6,8404.0,10191.2,15439.8,33.4,3.2,0.6,7.4126456171421
0.75,7.066,30.181,37962.752,265.6,1.78,351.129,9.6,0.0,1091591.2,2533229.6,90365.6,409053.6,7023.2,0.0,15668.6,37.8,3.4,0.6,8.220756986013654
0.77,6.259,34.655,16923.648,286.165,1.66,370.096,8.8,0.4,1601628.0,1499808.8,119800.0,415604.0,436.0,166060.8,14554.2,33.8,3.2,1.0,6.973146420835199
0.76,7.702,24.482,37089.28,259.893,1.81,339.122,8.4,0.0,1048886.4,3639520.0,132284.8,418182.4,52.8,0.0,16291.0,33.6,3.8,0.4,6.364378453313418
0.76,7.788,23.079,28984.32,240.659,1.95,316.845,6.8,0.0,1043091.2,5196593.6,137532.0,430051.2,3748.0,0.0,16091.0,37.2,2.8,0.4,6.356646880618082
0.73,7.243,26.881,39910.4,243.141,1.91,312.337,8.4,0.0,1038379.2,4030189.6,139135.2,442669.6,28.0,0.0,16066.8,38.2,2.8,0.6,6.58593754191975
0.76,7.03,29.891,36349.952,257.968,1.85,334.692,9.4,0.0,1034976.0,4094082.4,139738.4,446462.4,50.4,0.0,14725.8,38.2,2.4,0.4,6.479870306478964
0.75,7.526,23.605,34502.656,252.97,1.9,327.4,7.8,0.0,1034660.8,4412235.2,139936.0,444886.4,24.0,0.0,15754.4,36.8,3.0,0.0,5.8702397416551015
0.77,6.13,34.713,20420.608,271.426,1.69,345.735,9.2,0.2,1353349.6,3377764.8,140048.8,443915.2,16.8,129678.4,14460.0,35.6,3.2,0.6,7.180963733239088
0.87,6.488,32.523,7420.928,216.771,2.11,435.814,8.4,0.4,1131292.0,2212428.0,140108.8,445480.8,48.0,64171.2,15766.8,43.0,3.6,0.8,7.179917261272133
0.77,7.384,24.219,41158.656,257.988,1.9,366.615,8.8,0.2,1002906.4,4585519.2,140147.2,446132.8,285.6,0.0,15234.0,36.6,3.6,0.2,5.840354495578342
0.78,7.878,23.795,40619.008,243.436,2.05,366.916,9.2,0.0,1001072.0,4516480.0,140180.8,445860.0,31.2,0.0,16671.4,35.4,3.0,0.0,6.217055712728669
0.78,7.398,29.109,36407.296,237.634,2.02,351.377,8.4,0.2,1000977.6,4313059.2,140204.0,448352.0,2.4,0.0,15990.6,37.6,4.4,0.4,6.142606256438084
0.83,7.521,23.303,34056.192,222.924,2.18,429.222,10.6,0.2,1000273.6,4152653.6,140231.2,447102.4,28.8,0.0,15657.6,39.2,2.8,0.2,6.233168986631778
0.8,6.267,34.144,16278.528,266.275,1.72,373.132,9.0,0.2,1626807.2,3968921.6,140383.2,453848.0,44.0,177446.4,14823.0,35.2,3.4,1.0,7.654437312373409
0.86,7.933,28.103,27413.504,217.991,2.18,456.628,6.8,0.4,999414.4,4520740.0,140400.8,448825.6,13.6,0.0,17604.8,41.6,4.0,0.6,5.968961345247064
0.93,7.255,25.719,22268.928,224.155,1.99,468.177,8.8,0.2,999280.0,4269545.6,140412.0,448940.0,40.0,0.0,16123.2,44.2,4.0,0.6,6.773598450051862
0.92,6.052,34.459,9189.376,271.808,1.54,414.995,8.8,0.2,1674675.2,4583096.0,140560.8,450508.8,18.4,163152.8,13097.0,40.8,3.2,0.8,7.903392837041285
0.94,7.379,19.101,21310.464,240.209,1.81,435.003,6.2,0.2,991244.0,5325565.6,140868.0,456017.6,23.2,0.0,16363.4,39.0,4.8,0.8,6.878512714980939
0.89,6.501,22.806,21771.264,213.52,1.88,385.158,9.0,0.2,991244.0,5295335.2,140884.0,457807.2,4.0,0.0,14088.8,44.2,3.2,0.2,6.99345400619952
0.77,6.045,24.516,15153.152,228.523,1.79,317.294,8.2,0.6,1546139.2,5428916.0,140899.2,454061.6,7.2,125021.6,13543.8,34.2,4.0,1.2,7.009153756481863
1.06,7.491,17.945,12307.456,286.962,1.5,539.303,8.0,0.0,989760.0,5617591.2,140908.0,458193.6,11.2,0.0,15865.0,44.6,3.6,0.8,6.785793002374571
1.12,6.754,23.223,6522.88,281.422,1.43,554.477,7.6,0.2,988633.6,5622773.6,140928.0,459001.6,211.2,0.0,14801.4,47.2,4.6,0.8,8.37184064215122
1.08,7.269,22.648,15335.424,350.454,1.3,480.244,7.4,0.2,986432.0,5947759.2,141336.0,468008.8,6.4,0.0,15519.6,43.6,3.8,0.2,6.722054758861294
