ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
0.77,5.92,22.65,32008.192,274.668,1.39,347.973,13.27,10.4,0.4,789366.4,2335670.4,71003.2,688516.0,688.8,0.0,14632.8,22940.0,14403.4,24535.6,44.0,54.4,0.8,1.0,0.0,0.37,1
0.84,6.128,17.277,31838.208,296.728,1.32,373.917,12.75,7.6,0.0,809964.0,2083830.4,119754.4,691645.6,200.8,22171.2,461.6,46947.2,15776.0,25938.2,46.8,50.6,2.2,0.6,0.0,0.18,1
0.88,5.605,13.483,38048.768,273.76,1.14,345.199,11.76,8.0,0.0,725980.8,2538467.2,135636.0,689360.8,24.8,0.0,39.2,22193.6,13508.4,22421.6,42.4,56.2,1.4,0.2,0.0,0.32,1
0.84,4.713,19.683,26299.392,230.235,1.32,292.24,12.22,8.8,0.8,757244.8,2299570.4,141452.8,691157.6,18.4,23933.6,40.8,43908.0,12268.0,20137.4,43.8,54.0,1.8,0.4,0.0,0.14,1
0.84,5.103,13.076,34206.72,229.28,1.16,286.19,12.25,8.8,0.2,725445.6,3373593.6,143543.2,692858.4,196.0,0.0,217.6,20844.0,11462.0,20306.0,41.2,57.2,1.8,0.2,0.0,0.24,1
0.86,5.029,14.239,29672.448,222.826,1.23,279.625,11.87,10.4,0.0,725381.6,4943468.0,144469.6,689559.2,15.2,0.0,15.2,20775.2,11888.0,20341.6,41.6,56.4,2.4,0.0,0.0,0.25,1
0.86,5.179,17.799,29557.76,231.461,1.25,289.168,12.15,8.6,0.2,725208.0,4762987.2,144814.4,691889.6,13.6,0.0,13.6,21323.2,11445.8,20489.6,44.0,54.2,2.0,0.0,0.0,0.36,1
0.74,4.841,22.037,20855.808,196.013,1.64,246.314,12.06,10.8,0.8,724542.4,4775033.6,145930.4,729659.2,1606.4,0.0,12293.6,18684.0,11667.6,19568.8,40.2,58.0,1.0,0.4,0.0,0.39,1
0.83,4.946,14.107,29187.072,209.445,1.34,262.075,12.44,8.2,0.0,722648.0,4706739.2,148848.0,754014.4,14.4,0.0,53.6,19496.0,11834.6,19735.4,43.4,54.8,1.6,0.0,0.0,0.29,1
0.8,4.754,20.306,23070.72,193.654,1.6,271.836,10.46,10.2,0.2,721777.6,5094333.6,149820.0,764474.4,427.2,0.0,2343.2,20764.0,11228.2,20165.8,43.2,55.4,1.6,0.0,0.0,0.34,1
0.82,4.585,28.437,13912.064,157.17,1.94,305.199,8.5,9.2,0.4,721368.0,4802676.0,150028.0,772259.2,64.8,0.0,91.2,17840.0,11413.2,18857.4,46.2,51.6,1.8,0.2,0.0,0.29,1
1.03,4.854,19.763,19753.984,238.041,1.13,398.225,7.48,8.8,0.6,720600.0,5407888.8,150082.4,763834.4,12.8,0.0,12.8,19927.2,11462.4,19781.8,47.0,51.2,1.6,0.0,0.0,0.39,1
1.11,4.552,18.639,9505.792,244.376,1.05,433.614,6.34,8.4,0.2,801233.6,5616726.4,150352.0,760209.6,7.2,28985.6,72.0,46739.2,12130.6,18319.0,48.8,48.0,2.2,1.0,0.0,0.54,1
0.67,5.182,17.48,1234.944,173.085,1.57,221.351,11.66,7.0,0.2,720588.0,6124932.8,150365.6,760271.2,5.6,22.4,44.8,22133.6,12427.4,21355.8,58.2,39.4,2.4,0.0,0.0,0.36,1
0.8,4.251,26.41,42016.768,228.791,1.29,285.649,12.24,9.8,0.4,720588.0,986076.0,121287.2,618263.2,5.6,236.0,5101.4,20511.2,10891.2,19187.2,35.0,60.2,4.6,0.6,0.0,0.19,1
0.85,5.009,24.497,41075.712,235.994,1.14,298.754,12.0,8.6,0.0,828846.4,1936468.8,79092.8,392235.2,154.4,0.0,13910.0,20432.8,11407.2,19840.6,38.8,57.2,3.6,0.4,0.0,0.45,1
0.85,5.017,25.265,36702.208,228.866,1.14,288.549,12.15,8.2,0.2,827924.8,2955446.4,114544.8,404404.8,96.0,0.0,1575.8,21348.8,11056.8,19982.2,37.0,58.2,4.6,0.4,0.0,0.21,1
0.84,4.326,23.669,30669.824,210.178,1.45,263.544,11.92,7.8,0.4,826440.0,2913944.0,128497.6,419248.0,28.8,0.0,2121.8,18001.6,9568.2,17077.2,38.8,57.4,3.6,0.4,0.0,0.15,1
