ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.76,4.124,28.070,1513.472,202.414,1.68,295.575,10.19
0.79,4.406,26.375,32064.512,200.044,1.39,252.421,12.42
0.73,3.982,28.242,46026.752,189.130,1.27,236.76,13.54
0.76,4.163,24.494,39895.04,188.555,1.21,238.843,14.03
0.79,4.197,31.059,38277.12,195.702,1.12,249.448,12.78
0.81,4.592,27.569,39912.448,205.205,1.12,258.469,12.50
0.81,5.056,22.343,37221.376,204.761,1.06,262.087,12.11
0.74,3.174,32.975,37179.392,202.391,1.07,242.952,12.12
0.73,3.479,30.987,39197.696,193.114,1.43,238.732,12.53
0.68,4.920,29.557,39600.128,169.919,1.42,222.322,13.55
0.74,3.795,34.684,34437.12,172.838,1.14,222.751,12.86
0.79,4.637,32.357,42318.848,193.956,1.00,249.472,12.74
0.77,4.532,31.346,44989.44,188.373,1.08,239.132,12.88
0.78,4.562,29.778,50780.16,198.534,1.02,250.884,12.75
0.69,2.810,49.377,29407.232,177.868,1.24,207.263,11.93
0.72,3.747,38.772,42257.408,219.553,1.27,272.724,12.11
0.80,4.713,27.095,37858.304,221.217,1.25,280.002,10.93
0.70,4.367,27.398,37105.664,158.158,0.99,204.014,13.11
0.75,5.858,19.651,45687.808,189.406,1.22,242.085,13.87
0.71,5.692,12.607,50956.288,168.473,1.36,215.92,13.51
0.72,6.138,13.042,52820.992,165.795,0.95,209.571,14.12
0.70,3.005,32.184,26187.776,196.184,1.37,232.937,11.86
0.62,6.218,10.139,65445.888,141.846,1.09,177.032,15.68
0.75,5.287,18.658,47745.024,202.825,1.23,254.962,11.60
0.70,4.146,34.866,18902.016,170.783,1.06,222.751,11.64
0.65,5.940,14.901,55403.52,148.708,0.93,188.144,14.76
0.67,6.018,11.077,53959.68,148.940,0.83,192.121,13.77
0.64,5.765,27.391,60908.544,146.385,0.85,184.595,15.14
0.79,4.139,28.529,41400.32,227.105,1.42,280.484,11.88
0.79,3.763,30.396,38928.384,217.356,1.24,267.136,11.78
0.81,4.681,24.531,37935.104,223.654,1.41,286.519,11.99
0.85,5.042,26.447,42786.816,224.916,1.12,284.895,12.28
0.82,4.426,31.005,37736.448,226.943,1.15,288.511,12.16
0.81,4.532,29.059,29356.032,210.087,1.26,267.175,11.74
0.88,5.238,27.165,31599.616,240.595,1.08,305.246,11.82
0.76,3.348,36.473,33134.592,198.621,1.39,239.092,11.78
0.69,3.660,26.360,37264.384,162.384,1.32,200.913,13.01
0.73,4.147,25.410,43308.032,195.101,1.04,248.4,12.99
0.78,4.828,25.513,37540.864,191.646,1.10,241.5,12.83
0.80,4.588,29.256,41003.008,197.192,1.49,257.094,11.48
0.82,4.282,24.151,36424.704,193.344,1.01,244.577,12.48
0.77,4.336,28.683,36454.4,165.029,1.14,212.026,12.79
0.70,3.359,21.521,37146.624,190.679,1.02,218.244,13.16
0.67,3.499,21.694,42629.12,174.768,1.04,207.871,12.99
0.70,3.555,26.875,38171.648,190.150,1.00,244.993,11.52
0.69,4.670,15.395,51161.088,167.573,0.93,212.584,13.24
0.68,5.253,13.160,49510.4,155.475,0.92,198.945,13.79
0.75,5.093,12.151,36208.64,168.255,0.85,212.48,13.28
0.69,4.875,18.301,41455.616,147.153,1.05,185.78,13.54
0.63,3.037,48.722,32790.528,168.981,1.11,196.347,12.16
0.63,2.808,34.133,34321.408,160.043,1.04,189.84,12.25
0.59,3.019,84.411,23831.552,155.245,1.05,190.647,12.59
0.63,4.777,28.312,44384.256,151.956,0.89,196.829,13.18
0.65,4.784,12.782,55320.576,142.633,0.83,179.48,14.18
