r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
8.6,0.2,549360.0,1845191.2,154751.2,1607714.4,19.2,0.0,122.4,14868.0,9486.8,17181.4,29.4,62.2,7.0,1.0,0.0
9.8,0.8,805869.6,2182031.2,47595.2,391376.8,2476.0,0.0,20600.8,13872.0,9807.0,16770.2,38.6,57.6,2.0,2.0,0.0
7.2,1.4,809167.2,1785843.2,100204.0,409609.6,445.6,6198.4,1162.8,22232.0,10046.8,16977.4,34.2,60.8,4.0,1.0,0.0
7.0,0.0,892670.4,1744904.8,54500.0,356515.2,255.2,0.0,21180.8,15193.6,11203.2,17119.0,33.2,60.6,5.4,0.8,0.0
9.6,0.6,876926.4,1603345.6,103076.0,408518.4,296.8,754.4,1733.2,18307.2,9164.8,16910.4,33.6,60.6,5.2,0.6,0.0
8.0,0.6,879632.0,2122526.4,125549.6,407650.4,123.2,0.0,495.0,18434.4,10365.0,18436.6,35.4,59.0,5.4,0.6,0.0
6.2,0.6,852712.0,2453838.4,135041.6,420384.8,46.4,0.0,129.6,18075.2,10948.4,19602.2,36.4,56.2,6.6,1.0,0.0
9.2,0.2,867937.6,704260.0,88957.6,293868.8,133.6,14644.8,3984.8,27733.6,9412.2,14611.4,24.0,67.6,7.0,1.8,0.0
8.4,0.6,891178.4,950226.4,41410.4,278026.4,94.4,9380.8,14890.2,24964.0,9867.0,16849.8,25.4,67.2,6.4,1.4,0.0
8.2,0.6,922288.8,1606275.2,61290.4,348292.8,6464.8,828.0,26224.8,16565.6,12184.6,20453.6,26.8,63.6,7.0,2.4,0.0
8.8,0.6,917896.8,946262.4,94986.4,345524.0,908.0,1698.4,2676.0,18718.4,8797.8,16533.6,30.2,60.4,8.6,0.8,0.0
7.6,0.2,865523.2,3210157.6,112383.2,342459.2,63.2,0.0,1128.0,19017.6,11361.0,19071.6,30.0,58.4,10.6,1.6,0.0
7.2,0.0,865205.6,2923905.6,128067.2,349500.8,92.0,0.0,1203.6,17616.8,9752.0,17851.6,30.4,58.8,9.4,1.2,0.0
5.2,0.2,864923.2,3541852.8,135156.0,350094.4,49.6,0.0,80.8,16912.0,9525.0,18155.2,31.0,58.0,9.4,1.4,0.0
9.0,2.2,929396.8,275841.6,58935.2,198800.0,528.0,32302.4,11545.6,41680.0,8413.4,12376.6,11.2,79.4,5.4,3.6,0.0
