ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.59,5.848,30.732,1648.64,179.166,1.48,227.569,11.79,7.2,0.2,2690.4,2881847.2,186244.0,2995661.6,0.0,41.6,0.8,26631.2,12889.0,23421.0,56.2,37.6,6.0,0.6,0.0,0.00657
0.74,5.489,35.106,7869.44,179.352,1.68,250.036,12.26,5.8,0.2,3100.0,2256089.6,186904.8,2990136.8,0.0,0.0,0.0,20060.8,11458.8,21687.4,28.8,63.8,6.0,1.2,0.0,0.00638
0.8,4.093,27.136,50594.816,282.291,1.07,340.16,12.27,8.2,0.4,542556.0,1102122.4,49144.0,372964.8,1151.2,44964.8,10474.0,63428.8,10916.4,19498.2,30.8,64.2,4.2,0.6,0.0,0.02545
0.64,4.476,31.589,46928.896,195.51,1.45,243.27,13.72,11.0,0.0,883389.6,2025052.8,56656.8,447752.8,2354.4,0.0,8632.4,16881.6,11806.8,20362.4,32.8,62.8,3.4,0.6,0.0,0.01332
0.74,4.467,28.117,52071.424,220.528,1.11,268.926,14.47,6.4,0.4,1017928.8,1788954.4,59122.4,414047.2,252.8,3554.4,8715.2,22411.2,11121.0,19579.2,34.0,59.8,5.4,1.0,0.0,0.01
0.79,4.759,32.489,39175.168,223.465,1.22,285.761,12.87,7.2,0.2,1065052.8,2255856.8,79316.8,358006.4,1718.4,9282.4,4386.6,27220.0,12862.8,19663.8,33.2,61.6,4.6,0.8,0.0,0.00862
0.81,5.284,26.934,46036.992,231.605,1.1,291.583,13.08,6.6,0.6,941702.4,3157832.8,113168.8,366338.4,368.8,0.0,1381.0,19087.2,12137.6,21161.6,34.4,59.6,5.6,1.0,0.0,0.00494
0.79,4.793,35.725,35783.68,219.183,1.15,274.957,12.81,7.6,0.4,970304.0,2345559.2,126828.0,376072.0,191.2,29293.6,440.0,49174.4,11338.0,19461.8,36.2,57.2,5.8,0.8,0.0,0.01041
0.81,5.325,35.895,40224.768,217.584,1.18,276.46,12.73,7.8,0.2,918534.4,3417212.0,132364.8,421650.4,533.6,0.0,1023.2,20487.2,11264.0,20974.6,35.4,57.0,6.8,1.4,0.0,0.00574
0.81,5.64,25.521,47476.736,236.397,1.09,296.914,13.04,9.0,0.0,917772.0,3807501.6,134564.0,425996.0,136.8,0.0,141.6,22444.8,12626.2,22574.6,36.2,57.4,6.4,0.8,0.0,0.00687
0.79,5.634,28.174,46212.096,233.272,1.15,291.48,13.22,6.8,0.6,917396.0,4310049.6,135226.4,425464.8,132.0,0.0,554.0,21970.4,12495.2,22875.2,38.0,54.6,6.8,1.0,0.0,0.00435
0.82,5.461,32.943,41622.528,226.833,1.15,285.492,12.99,8.4,0.2,916799.2,4500151.2,135573.6,427343.2,84.0,0.0,109.6,22013.6,12105.8,22437.6,38.8,53.6,7.0,1.0,0.0,0.0098
