stress-vm,stress-cpu(%),stress-io(%),avg-latency
4K,50,30,.00657
7168M,50,30,.00638
6912M,50,30,.02545
6656M,50,30,.01332
6400M,50,30,.01000
6144M,50,30,.00862
5888M,50,30,.00494
5632M,50,30,.01041
5376M,50,30,.00574
5120M,50,30,.00687
4864M,50,30,.00435
4608M,50,30,.00980
4352M,50,30,.00690
4096M,50,30,.00573
3840M,50,30,.00440
3584M,50,30,.00507
3328M,50,30,.00465
3072M,50,30,.00399
2816M,50,30,.01198
2560M,50,30,.00907
2304M,50,30,.00540
2048M,50,30,.00586
1792M,50,30,.00459
1536M,50,30,.00444
1280M,50,30,.00335
1024M,50,30,.00474
768M,50,30,.01003
512M,50,30,.00389
256M,50,30,.00478
4K,30,30,.00294
7168M,30,30,.01781
6912M,30,30,.03413
6656M,30,30,.01350
6400M,30,30,.00626
6144M,30,30,.00696
5888M,30,30,.00372
5632M,30,30,.00509
5376M,30,30,.00506
5120M,30,30,.00393
4864M,30,30,.00541
4608M,30,30,.01121
4352M,30,30,.00299
4096M,30,30,.00292
3840M,30,30,.00358
3584M,30,30,.00350
3328M,30,30,.00479
3072M,30,30,.00249
2816M,30,30,.00395
2560M,30,30,.00384
2304M,30,30,.00654
2048M,30,30,.00249
1792M,30,30,.00432
1536M,30,30,.00204
1280M,30,30,.00398
1024M,30,30,.00502
768M,30,30,.00333
512M,30,30,.00264
256M,30,30,.00521
4K,10,30,.00220
7168M,10,30,.01014
6912M,10,30,.06811
6656M,10,30,.00970
6400M,10,30,.00445
6144M,10,30,.00543
5888M,10,30,.00309
5632M,10,30,.00241
5376M,10,30,.00299
5120M,10,30,.00353
4864M,10,30,.00275
4608M,10,30,.00887
4352M,10,30,.00203
4096M,10,30,.00419
3840M,10,30,.00358
3584M,10,30,.00282
3328M,10,30,.00382
3072M,10,30,.00224
2816M,10,30,.00256
2560M,10,30,.00258
2304M,10,30,.00782
2048M,10,30,.00755
1792M,10,30,.00212
1536M,10,30,.00400
1280M,10,30,.00512
1024M,10,30,.00236
768M,10,30,.00205
512M,10,30,.00321
256M,10,30,.00348
4K,0,30,.00202
7168M,0,30,.01851
6912M,0,30,.01124
6656M,0,30,.02592
6400M,0,30,.00394
6144M,0,30,.00239
5888M,0,30,.00287
5632M,0,30,.00409
5376M,0,30,.00209
5120M,0,30,.00209
4864M,0,30,.00304
4608M,0,30,.00313
4352M,0,30,.03913
4096M,0,30,.00433
3840M,0,30,.00281
3584M,0,30,.00296
3328M,0,30,.00344
3072M,0,30,.00391
2816M,0,30,.00319
2560M,0,30,.00232
2304M,0,30,.00257
2048M,0,30,.00546
1792M,0,30,.00271
1536M,0,30,.00309
1280M,0,30,.00362
1024M,0,30,.00323
768M,0,30,.00436
512M,0,30,.00612
256M,0,30,.00480
4K,50,20,.00473
7168M,50,20,.01029
6912M,50,20,.00744
6656M,50,20,.01345
6400M,50,20,.00700
6144M,50,20,.00641
5888M,50,20,.00772
5632M,50,20,.00660
5376M,50,20,.00620
5120M,50,20,.00686
4864M,50,20,.00506
4608M,50,20,.00640
4352M,50,20,.00664
4096M,50,20,.00401
3840M,50,20,.00545
3584M,50,20,.00873
3328M,50,20,.00651
3072M,50,20,.00828
2816M,50,20,.00996
2560M,50,20,.00544
2304M,50,20,.00881
2048M,50,20,.00705
1792M,50,20,.01122
1536M,50,20,.00935
1280M,50,20,.00552
1024M,50,20,.00479
768M,50,20,.00683
512M,50,20,.00536
256M,50,20,.00650
4K,30,20,.00441
7168M,30,20,.00524
6912M,30,20,.00986
6656M,30,20,.03205
6400M,30,20,.00766
6144M,30,20,.00494
5888M,30,20,.00521
5632M,30,20,.00648
5376M,30,20,.00687
5120M,30,20,.00734
4864M,30,20,.00679
4608M,30,20,.00447
4352M,30,20,.00388
4096M,30,20,.00381
3840M,30,20,.00519
3584M,30,20,.00563
3328M,30,20,.00556
3072M,30,20,.00634
2816M,30,20,.00706
2560M,30,20,.00670
2304M,30,20,.00914
2048M,30,20,.00638
1792M,30,20,.00877
1536M,30,20,.00474
1280M,30,20,.00737
1024M,30,20,.00417
768M,30,20,.00510
512M,30,20,.00692
256M,30,20,.00769
4K,10,20,.00479
7168M,10,20,.01839
6912M,10,20,.01275
