r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.2,0.2,2690.4,2881847.2,186244.0,2995661.6,0.0,41.6,0.8,26631.2,12889.0,23421.0,56.2,37.6,6.0,0.6,0.0
5.8,0.2,3100.0,2256089.6,186904.8,2990136.8,0.0,0.0,0.0,20060.8,11458.8,21687.4,28.8,63.8,6.0,1.2,0.0
8.2,0.4,542556.0,1102122.4,49144.0,372964.8,1151.2,44964.8,10474.0,63428.8,10916.4,19498.2,30.8,64.2,4.2,0.6,0.0
11.0,0.0,883389.6,2025052.8,56656.8,447752.8,2354.4,0.0,8632.4,16881.6,11806.8,20362.4,32.8,62.8,3.4,0.6,0.0
6.4,0.4,1017928.8,1788954.4,59122.4,414047.2,252.8,3554.4,8715.2,22411.2,11121.0,19579.2,34.0,59.8,5.4,1.0,0.0
7.2,0.2,1065052.8,2255856.8,79316.8,358006.4,1718.4,9282.4,4386.6,27220.0,12862.8,19663.8,33.2,61.6,4.6,0.8,0.0
6.6,0.6,941702.4,3157832.8,113168.8,366338.4,368.8,0.0,1381.0,19087.2,12137.6,21161.6,34.4,59.6,5.6,1.0,0.0
7.6,0.4,970304.0,2345559.2,126828.0,376072.0,191.2,29293.6,440.0,49174.4,11338.0,19461.8,36.2,57.2,5.8,0.8,0.0
7.8,0.2,918534.4,3417212.0,132364.8,421650.4,533.6,0.0,1023.2,20487.2,11264.0,20974.6,35.4,57.0,6.8,1.4,0.0
9.0,0.0,917772.0,3807501.6,134564.0,425996.0,136.8,0.0,141.6,22444.8,12626.2,22574.6,36.2,57.4,6.4,0.8,0.0
6.8,0.6,917396.0,4310049.6,135226.4,425464.8,132.0,0.0,554.0,21970.4,12495.2,22875.2,38.0,54.6,6.8,1.0,0.0
