ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.6,6.481,28.419,6818.816,220.089,1.66,275.66,11.36,8.8,0.2,2430.4,2504978.4,184126.4,3247927.2,0.0,48.8,0.0,22786.4,14522.2,26244.2,49.4,47.4,3.0,0.2,0.0,36.09005189855072
0.74,5.168,31.857,10791.936,204.434,1.77,278.242,11.73,8.4,0.8,2584.0,1870921.6,185161.6,3243254.4,0.0,0.0,6.4,18007.2,11677.4,20885.2,27.4,70.0,2.2,0.6,0.0,61.54952032608696
0.76,4.561,30.633,48933.888,222.618,1.37,278.572,12.23,10.2,0.6,663184.0,1106916.8,42588.8,678120.0,712.0,32571.2,6548.6,51562.4,11525.8,19782.4,31.2,66.2,2.0,0.2,0.0,59.57239643181818
0.72,4.65,28.301,51193.856,201.849,1.4,251.677,13.4,7.8,0.2,952857.6,1851272.0,58347.2,567879.2,4101.6,9744.8,6158.6,29101.6,12432.8,21565.6,29.6,68.0,2.4,0.4,0.0,59.43465675
0.79,4.833,27.344,39754.752,213.403,1.36,267.092,13.28,8.6,0.8,1071908.8,3145742.4,57594.4,489528.0,1763.2,0.0,3104.0,19120.0,11355.2,19643.8,35.4,62.0,2.4,0.2,0.0,51.2289853090909
0.74,4.067,34.056,41365.504,196.616,1.39,244.395,13.34,7.0,0.6,1076455.2,1123470.4,92920.0,482674.4,492.0,10068.0,1298.8,27748.8,9875.0,17439.8,36.6,61.0,2.4,0.2,0.0,47.523331313725485
0.78,4.715,30.901,42233.856,215.273,1.3,270.992,12.84,7.0,0.4,1108752.8,2267728.0,100681.6,490712.0,1072.0,2012.8,1153.2,20951.2,11387.0,19792.2,35.8,61.0,3.0,1.0,0.0,43.75264719230769
0.82,4.294,32.049,20392.96,196.712,2.09,251.442,11.3,8.0,0.0,1054946.4,2283654.4,118393.6,498652.0,144.8,0.0,160.8,17190.4,10291.8,17901.8,34.8,62.2,3.0,0.4,0.0,47.29065432653061
0.79,4.347,24.643,31895.552,197.929,1.31,251.678,12.08,8.8,0.2,1053207.2,1801866.4,128269.6,519296.8,284.0,0.0,284.0,17477.6,10246.4,17645.2,33.6,64.2,2.0,0.4,0.0,55.1931568
0.79,4.917,24.104,40435.712,213.65,1.3,265.757,12.8,9.2,0.2,1051511.2,3353374.4,132888.8,522452.0,352.8,0.0,353.6,20212.0,10948.0,19433.0,33.0,63.4,3.2,0.6,0.0,51.88416182692308
0.8,4.977,26.969,32310.272,207.71,1.3,262.375,12.1,8.6,0.4,1050016.8,3777537.6,135152.0,525368.0,469.6,0.0,532.8,19593.6,11326.6,19867.8,35.4,60.4,3.4,0.6,0.0,47.17773367924528
0.82,4.892,25.61,36831.232,217.904,1.28,273.416,11.94,6.8,0.2,1048477.6,4339283.2,136045.6,532512.8,340.8,0.0,347.2,21208.0,11565.6,21078.8,37.4,59.2,3.2,0.6,0.0,48.47223519298245
0.78,4.653,24.796,33387.52,196.949,1.31,245.352,12.5,9.4,0.0,1047133.6,4638439.2,136439.2,531204.8,592.8,0.0,592.8,20360.8,11020.4,19999.0,32.8,64.8,2.2,0.0,0.0,53.70532968085106
0.81,4.742,25.502,34031.616,204.989,1.34,258.437,12.31,8.0,0.0,1046004.8,4874114.4,136628.8,531281.6,263.2,0.0,380.8,19692.8,11076.6,19880.6,38.4,59.4,2.0,0.2,0.0,45.26196822413793
0.8,4.793,24.975,37668.864,210.174,1.3,259.923,12.26,10.2,0.2,1044480.8,4745982.4,136775.2,537010.4,461.6,0.0,617.4,20510.4,11555.6,20388.4,36.2,60.4,3.4,0.4,0.0,48.77696466037736
0.75,4.743,19.724,39555.072,183.793,1.44,226.622,13.87,6.8,0.4,1042718.4,4615172.0,136824.8,535417.6,416.0,0.0,448.8,17338.4,11460.0,20103.0,36.4,58.8,3.8,0.6,0.0,44.7174166122449
0.77,5.02,20.832,32675.84,195.005,1.47,243.0,12.41,7.6,0.2,1041144.8,4893284.0,136850.4,536636.0,533.6,0.0,559.2,19681.6,12193.4,20612.2,37.8,58.4,3.4,0.6,0.0,49.51302746428571
