ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.60,6.481,28.419,6818.816,220.089,1.66,275.66,11.36
0.74,5.168,31.857,10791.936,204.434,1.77,278.242,11.73
0.76,4.561,30.633,48933.888,222.618,1.37,278.572,12.23
0.72,4.650,28.301,51193.856,201.849,1.40,251.677,13.40
0.79,4.833,27.344,39754.752,213.403,1.36,267.092,13.28
0.74,4.067,34.056,41365.504,196.616,1.39,244.395,13.34
0.78,4.715,30.901,42233.856,215.273,1.30,270.992,12.84
0.82,4.294,32.049,20392.96,196.712,2.09,251.442,11.30
0.79,4.347,24.643,31895.552,197.929,1.31,251.678,12.08
0.79,4.917,24.104,40435.712,213.650,1.30,265.757,12.80
0.80,4.977,26.969,32310.272,207.710,1.30,262.375,12.10
0.82,4.892,25.610,36831.232,217.904,1.28,273.416,11.94
0.78,4.653,24.796,33387.52,196.949,1.31,245.352,12.50
0.81,4.742,25.502,34031.616,204.989,1.34,258.437,12.31
0.80,4.793,24.975,37668.864,210.174,1.30,259.923,12.26
0.75,4.743,19.724,39555.072,183.793,1.44,226.622,13.87
0.77,5.020,20.832,32675.84,195.005,1.47,243.0,12.41
0.78,4.401,20.927,30718.976,188.965,1.41,232.163,12.58
0.79,4.756,23.597,35896.32,193.267,1.43,245.376,12.04
0.88,4.899,19.319,32517.12,181.237,1.49,327.642,8.78
0.97,5.182,20.624,27633.664,184.879,1.60,402.687,7.36
1.01,4.488,21.347,16018.432,177.128,1.51,379.628,6.85
0.86,4.427,24.450,25177.088,163.063,1.64,296.588,8.81
0.87,3.788,20.580,16027.648,143.067,1.62,254.695,8.35
0.71,2.983,22.461,19741.696,122.448,1.67,161.368,12.78
1.21,5.080,22.471,16555.008,281.850,1.00,517.199,5.61
1.07,4.517,19.487,16444.416,244.425,1.14,409.973,6.49
1.10,4.756,20.716,14881.792,229.452,1.12,422.726,6.15
1.07,4.210,26.618,16502.784,269.138,0.98,329.115,7.71
0.52,4.957,24.943,5870.592,138.583,1.86,176.968,11.43
