ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.66,4.0,24.836,24521.728,110.44,2.13,139.667,14.46,11.0,0.0,996992.0,4175323.2,136238.4,669991.2,28.8,0.0,52.8,11447.2,9013.2,15792.0,34.2,63.2,2.0,0.6,0.0,4.719493
0.66,3.986,25.913,31077.376,117.775,2.07,147.852,14.54,9.2,0.2,956930.4,3648479.2,39087.2,482136.8,212.8,0.0,8683.2,11532.8,8661.8,15815.6,32.6,64.8,2.4,0.2,0.0,3.870433
0.66,4.252,28.526,32020.48,119.929,2.08,150.391,14.92,9.8,0.2,1037442.4,4173895.2,37897.6,385986.4,113.6,0.0,5911.2,11636.8,8717.6,16153.0,35.6,62.0,2.2,0.8,0.0,3.77982
0.75,9.511,21.777,37455.872,286.575,1.95,372.605,12.49,9.4,0.0,1035138.4,4348624.8,104050.4,410081.6,1548.8,0.0,1614.2,22301.6,18192.2,36831.4,34.0,59.8,5.2,1.0,0.0,1.381734
0.75,9.085,20.82,45034.496,292.698,1.79,377.881,13.05,10.2,0.2,967200.0,3483439.2,132469.6,419890.4,77.6,0.0,77.6,24649.6,18245.8,35736.0,31.4,63.8,4.4,0.8,0.0,1.523917
0.73,9.127,26.192,47329.28,279.154,1.93,359.416,13.35,7.8,0.2,966564.8,4483597.6,138753.6,423918.4,21.6,0.0,187.4,25308.8,18663.2,36223.6,34.6,61.6,3.4,0.4,0.0,1.432123
0.75,8.623,23.983,49047.552,290.607,1.74,367.022,13.12,9.8,0.2,965904.8,4214584.8,140130.4,428761.6,80.8,0.0,96.8,23379.2,18191.0,33805.6,34.0,62.2,3.4,0.6,0.0,1.586809
0.76,9.098,20.189,39887.872,287.947,1.79,369.349,12.61,8.8,0.0,965492.0,4347604.8,140504.0,433525.6,53.6,0.0,55.2,23409.6,16512.6,35518.6,32.6,63.4,3.6,0.4,0.0,1.430932
0.7,9.643,21.513,43978.752,252.756,2.12,328.444,14.14,9.8,0.2,963145.6,4475024.0,141084.0,456822.4,1244.8,0.0,3183.6,23816.0,18358.0,37622.6,36.2,59.6,3.8,0.8,0.0,1.428865
0.73,9.084,26.36,38486.016,270.611,1.96,351.376,13.38,9.4,0.2,962590.4,5060212.0,141138.4,455697.6,101.6,0.0,102.4,24792.8,18420.4,36687.4,33.2,63.6,3.2,0.0,0.0,1.31828
0.73,8.767,29.105,36210.688,255.621,1.99,331.036,13.91,7.0,0.0,962088.8,4814110.4,141170.4,456358.4,21.6,0.0,329.0,23361.6,18315.8,34754.0,37.4,57.0,5.0,1.0,0.0,1.588263
0.73,8.903,33.64,43880.448,254.597,2.03,348.803,13.05,9.8,0.6,961651.2,4304049.6,141213.6,463486.4,13.6,0.0,13.6,23068.8,17753.8,36106.4,37.4,57.8,4.4,0.6,0.0,1.483911
0.74,8.684,25.27,38789.12,259.205,1.97,336.844,12.77,6.8,0.4,961277.6,5069453.6,141228.0,464274.4,12.8,0.0,12.8,23475.2,18015.8,33367.0,35.0,60.6,4.0,0.8,0.0,1.541008
0.76,6.845,31.513,19232.768,297.808,1.59,383.265,9.68,8.4,0.6,1446716.8,3833530.4,141246.4,459383.2,28.0,195208.8,28.8,214054.4,15975.8,27741.4,34.0,62.4,3.0,1.0,0.0,1.996096
0.79,8.802,26.183,37773.312,241.186,2.11,399.434,10.75,9.2,0.0,947175.2,4444477.6,141258.4,461003.2,24.0,0.0,62.4,23355.2,17231.2,34395.4,37.6,58.0,4.4,0.6,0.0,1.499059
0.82,9.201,28.693,36118.528,230.138,2.21,453.832,9.43,7.8,0.2,946672.0,4298600.8,141268.0,462783.2,66.4,0.0,81.6,24416.0,17378.2,37303.6,37.6,58.4,3.8,0.8,0.0,1.523361
0.93,8.929,24.482,29170.688,235.872,2.19,546.454,7.7,7.8,0.2,946476.8,4108780.0,141283.2,461706.4,11.2,0.0,11.2,23388.0,16640.4,35758.8,40.6,54.8,4.0,0.8,0.0,1.433786
0.95,8.621,30.386,14283.776,241.741,2.06,531.61,7.47,10.0,0.0,946199.2,4187466.4,141302.4,464282.4,10.4,0.0,11.2,23564.8,18283.2,35273.4,44.0,51.2,4.6,0.6,0.0,1.49869
0.91,8.833,30.234,24285.184,248.495,2.07,519.048,7.72,7.4,0.2,945880.0,4210507.2,141328.8,463156.8,20.0,0.0,45.8,24244.8,17363.4,34740.0,42.2,53.4,4.4,0.6,0.0,1.342874
