stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
7168M,50,30,4.719493
6912M,50,30,3.870433
6656M,50,30,3.779820
6400M,50,30,1.381734
6144M,50,30,1.523917
5888M,50,30,1.432123
5632M,50,30,1.586809
5376M,50,30,1.430932
5120M,50,30,1.428865
4864M,50,30,1.318280
4608M,50,30,1.588263
4352M,50,30,1.483911
4096M,50,30,1.541008
3840M,50,30,1.996096
3584M,50,30,1.499059
3328M,50,30,1.523361
3072M,50,30,1.433786
2816M,50,30,1.498690
2560M,50,30,1.342874
2304M,50,30,1.821397
2048M,50,30,1.760362
1792M,50,30,1.640825
1536M,50,30,1.921981
1280M,50,30,1.723240
1024M,50,30,1.614475
768M,50,30,1.694836
512M,50,30,1.518800
256M,50,30,1.762983
7168M,30,30,1.889265
6912M,30,30,1.883256
6656M,30,30,1.733691
6400M,30,30,1.564314
6144M,30,30,1.438066
5888M,30,30,1.718647
5632M,30,30,1.311095
5376M,30,30,1.436566
5120M,30,30,1.354089
4864M,30,30,1.615617
4608M,30,30,1.382203
4352M,30,30,1.479746
4096M,30,30,1.425677
3840M,30,30,1.616066
3584M,30,30,1.541678
3328M,30,30,1.507927
3072M,30,30,1.339042
2816M,30,30,1.340669
2560M,30,30,1.423578
2304M,30,30,1.492700
2048M,30,30,1.338906
1792M,30,30,1.620957
1536M,30,30,1.503530
1280M,30,30,1.434375
1024M,30,30,1.486990
768M,30,30,1.550034
512M,30,30,1.463730
256M,30,30,1.393591
7168M,10,30,2.043834
6912M,10,30,1.222589
6656M,10,30,1.344362
6400M,10,30,1.643250
6144M,10,30,1.137468
5888M,10,30,1.244481
5632M,10,30,1.153469
5376M,10,30,1.281566
5120M,10,30,1.166372
4864M,10,30,1.127102
4608M,10,30,1.290724
4352M,10,30,1.263573
4096M,10,30,1.317864
3840M,10,30,1.276367
3584M,10,30,1.096371
3328M,10,30,1.214499
3072M,10,30,1.175383
2816M,10,30,1.383976
2560M,10,30,1.096299
2304M,10,30,1.208966
2048M,10,30,1.237192
1792M,10,30,1.290912
1536M,10,30,1.242290
1280M,10,30,1.168731
1024M,10,30,1.197709
768M,10,30,1.213783
512M,10,30,1.161812
256M,10,30,1.333128
7168M,0,30,1.354012
6912M,0,30,1.471649
6656M,0,30,1.372466
6400M,0,30,1.292481
6144M,0,30,1.105200
5888M,0,30,1.053819
5632M,0,30,1.283318
5376M,0,30,1.175092
5120M,0,30,1.001336
4864M,0,30,1.006168
4608M,0,30,0.976937
4352M,0,30,1.198264
4096M,0,30,1.160390
3840M,0,30,1.051687
3584M,0,30,1.047619
3328M,0,30,0.980589
3072M,0,30,1.044674
2816M,0,30,1.246896
2560M,0,30,1.351062
2304M,0,30,1.597102
2048M,0,30,1.239842
1792M,0,30,1.114924
1536M,0,30,1.141682
1280M,0,30,0.998113
