ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.66,4.000,24.836,24521.728,110.440,2.13,139.667,14.46
0.66,3.986,25.913,31077.376,117.775,2.07,147.852,14.54
0.66,4.252,28.526,32020.48,119.929,2.08,150.391,14.92
0.75,9.511,21.777,37455.872,286.575,1.95,372.605,12.49
0.75,9.085,20.820,45034.496,292.698,1.79,377.881,13.05
0.73,9.127,26.192,47329.28,279.154,1.93,359.416,13.35
0.75,8.623,23.983,49047.552,290.607,1.74,367.022,13.12
0.76,9.098,20.189,39887.872,287.947,1.79,369.349,12.61
0.70,9.643,21.513,43978.752,252.756,2.12,328.444,14.14
0.73,9.084,26.360,38486.016,270.611,1.96,351.376,13.38
0.73,8.767,29.105,36210.688,255.621,1.99,331.036,13.91
0.73,8.903,33.640,43880.448,254.597,2.03,348.803,13.05
0.74,8.684,25.270,38789.12,259.205,1.97,336.844,12.77
0.76,6.845,31.513,19232.768,297.808,1.59,383.265,9.68
0.79,8.802,26.183,37773.312,241.186,2.11,399.434,10.75
0.82,9.201,28.693,36118.528,230.138,2.21,453.832,9.43
0.93,8.929,24.482,29170.688,235.872,2.19,546.454,7.70
0.95,8.621,30.386,14283.776,241.741,2.06,531.61,7.47
0.91,8.833,30.234,24285.184,248.495,2.07,519.048,7.72
0.83,7.119,37.221,13043.712,276.862,1.76,447.231,8.03
0.98,8.002,28.809,29310.976,293.313,1.61,504.851,8.19
1.00,8.590,32.516,24887.296,292.381,1.64,524.505,7.69
1.00,7.804,35.301,19944.448,303.488,1.53,551.285,6.95
0.97,7.621,23.308,7242.752,317.960,1.52,504.982,7.19
1.24,8.684,25.187,6322.176,357.255,1.31,755.289,5.04
1.08,8.507,23.195,18104.32,336.685,1.42,656.18,6.27
0.98,8.112,26.898,16351.232,321.917,1.57,525.122,7.55
1.01,8.060,33.630,15726.592,343.523,1.37,450.744,8.19
0.65,7.318,38.747,31566.848,248.180,1.82,327.23,11.78
0.67,7.895,46.036,27139.072,244.990,1.94,330.142,11.66
0.69,7.909,35.476,36638.72,253.469,1.71,329.481,12.84
0.71,8.602,28.102,44728.32,257.083,1.75,331.503,13.20
0.70,8.857,34.358,41361.408,251.249,1.90,326.953,13.40
0.73,7.210,42.454,19454.976,282.700,1.71,361.981,10.75
0.68,8.521,37.089,39987.2,243.395,2.08,317.802,13.61
0.70,8.585,39.551,41487.36,243.173,2.01,316.18,13.45
0.70,8.913,34.140,45671.424,246.029,2.02,321.689,13.23
0.69,8.570,23.567,47000.576,236.472,1.92,304.385,13.98
0.70,8.833,27.466,51539.968,235.388,2.10,332.803,13.17
0.67,8.936,22.773,41627.648,228.453,2.00,298.739,13.46
0.75,8.561,20.373,44528.64,229.061,2.14,380.379,10.94
0.73,6.940,29.257,18158.592,279.447,1.68,358.143,9.98
0.84,8.867,26.027,36992.0,212.363,2.20,479.829,8.36
0.90,8.566,30.693,29885.44,213.542,2.24,541.271,7.25
0.90,9.199,19.547,29343.744,212.932,2.24,517.663,7.56
0.98,9.138,43.548,29313.024,263.127,1.88,544.916,7.31
1.02,8.714,34.997,23139.328,278.720,1.68,548.081,6.94
0.95,8.681,39.805,30136.32,263.811,1.74,494.697,8.03
1.04,9.018,37.041,24863.744,321.934,1.57,584.763,6.90
0.95,7.895,45.700,21955.584,298.941,1.57,532.093,7.06
0.94,8.349,56.127,19808.256,276.206,1.68,503.818,7.23
1.20,8.774,38.590,10522.624,352.900,1.30,764.458,4.92
1.23,8.751,44.917,4464.64,355.514,1.34,772.097,4.69
1.09,8.650,41.652,17482.752,336.596,1.37,606.679,6.24
1.07,8.668,40.362,24183.808,383.525,1.21,431.542,8.57
0.92,8.605,38.689,22348.8,314.002,1.57,476.737,8.23
0.61,6.689,85.639,18701.312,258.558,1.76,338.817,9.46
0.60,8.808,64.385,63799.296,218.155,2.16,297.233,15.18
0.63,8.748,69.987,56867.84,233.996,1.88,306.034,14.67
0.65,7.192,77.219,39211.008,262.767,1.63,335.939,11.98
0.62,9.140,54.124,52661.248,226.837,2.12,299.151,15.15
0.62,9.317,61.036,59744.256,232.965,2.00,299.591,14.47
0.81,9.584,74.480,29429.76,207.831,2.24,466.084,8.66
0.67,9.114,50.245,59579.392,216.440,2.04,345.211,12.65
0.69,9.084,60.702,56757.248,201.906,2.40,370.253,11.01
0.77,9.565,55.075,52795.392,187.901,2.57,476.479,8.79
0.81,9.114,66.004,48778.24,184.437,2.42,495.249,8.01
0.84,9.659,37.765,44655.616,185.498,2.41,511.252,7.59
0.88,9.033,38.588,40360.96,189.964,2.31,573.001,6.71
0.89,9.531,38.229,36667.392,193.212,2.32,554.05,6.79
0.91,9.940,46.350,39126.016,224.228,2.16,559.217,6.95
0.91,9.341,51.328,36622.336,220.524,2.07,535.013,6.93
0.94,9.324,70.073,43317.248,251.725,1.87,540.877,7.38
0.98,9.007,60.375,41619.456,268.020,1.63,528.663,7.17
1.09,9.979,42.285,31220.736,313.324,1.53,646.551,5.89
1.10,9.485,51.947,27343.872,307.523,1.52,673.44,5.58
1.17,9.323,53.260,24246.272,335.639,1.48,739.345,5.00
1.28,9.152,65.064,20742.144,380.523,1.16,844.806,4.38
1.30,9.110,76.018,16227.328,370.282,1.16,840.393,4.34
1.30,9.315,57.132,13059.072,369.980,1.23,879.389,4.16
1.12,9.348,53.979,23435.264,322.585,1.42,718.405,5.28
1.13,9.400,36.135,28327.936,399.843,1.13,513.738,6.95
1.12,9.122,53.309,31975.424,422.662,1.08,511.639,7.23
0.86,9.506,44.813,19713.024,271.773,1.77,444.384,7.86
0.62,8.229,66.575,16812.032,237.403,2.16,317.452,11.40
0.57,8.704,44.286,55512.064,211.375,1.81,285.681,14.27
0.78,8.380,55.150,33335.296,196.479,1.96,426.084,8.83
0.60,9.114,30.033,71507.968,207.270,2.11,301.381,14.80
0.78,9.719,58.375,34412.544,204.072,2.15,455.855,8.53
0.63,9.970,37.175,62833.664,196.993,2.36,353.112,12.08
0.65,9.326,31.849,62458.88,180.796,2.24,344.71,11.29
0.71,9.511,53.344,59492.352,176.092,2.35,430.344,8.99
0.96,9.911,62.299,30142.464,176.162,2.57,629.78,5.65
0.79,10.404,53.075,54154.24,170.804,2.75,525.387,7.66
0.95,10.010,59.129,35454.976,194.703,2.36,608.413,6.05
1.03,9.578,66.069,45795.328,246.644,1.73,623.39,5.85
0.95,9.431,47.484,52519.936,228.408,1.92,593.816,6.59
0.99,9.613,51.385,53238.784,264.604,1.69,608.816,6.60
0.95,9.251,97.339,49173.504,238.700,1.91,560.686,6.78
0.94,10.166,72.299,48716.8,254.483,1.87,559.72,7.13
1.02,9.926,89.610,42400.768,269.924,1.68,624.838,6.17
0.95,7.349,97.546,26226.688,265.041,1.64,587.255,5.60
0.95,7.976,83.828,20277.248,266.937,1.60,572.196,5.50
1.10,7.560,73.035,26415.104,329.146,1.10,678.735,4.70
1.39,9.539,107.184,12265.472,388.530,1.04,922.968,3.64
1.30,9.458,57.743,20628.48,392.710,1.07,909.382,3.99
1.36,9.763,64.899,16058.368,385.957,1.09,934.701,3.69
1.22,10.392,40.389,23854.08,344.759,1.34,861.192,4.34
1.17,9.278,62.632,34787.328,381.105,1.07,672.29,5.37
1.06,7.752,56.031,24610.816,363.145,1.04,492.562,6.35
1.19,9.341,49.154,37238.784,436.995,0.98,565.624,6.13
0.87,8.210,66.551,16950.272,247.589,1.85,423.392,7.18
0.70,7.243,29.767,32151.552,274.400,1.95,357.286,11.68
0.71,7.300,41.975,35703.808,264.922,1.92,348.911,12.02
0.65,6.810,21.326,45030.4,220.706,1.89,283.171,15.01
0.76,8.323,33.000,38371.328,278.949,1.71,361.299,12.54
0.75,8.514,30.083,40777.728,276.388,1.82,356.7,12.82
0.74,8.659,28.555,39584.768,279.484,2.01,361.943,13.00
0.75,8.450,30.731,44833.792,277.601,1.77,356.698,13.23
0.75,8.209,26.734,36233.216,259.775,1.82,337.518,12.94
0.75,8.665,29.464,42479.616,272.272,1.91,350.822,13.08
0.75,8.610,27.563,35724.288,257.595,2.13,333.601,13.08
0.75,8.627,30.891,41158.656,266.158,1.93,344.897,12.52
0.72,8.213,33.980,39952.384,249.108,1.96,319.002,13.40
0.79,8.514,27.318,21955.584,257.496,1.94,379.076,11.54
0.75,8.179,28.930,38958.08,244.188,1.94,345.505,12.10
0.75,8.384,32.638,40128.512,235.965,2.07,337.523,12.39
0.71,8.541,27.187,36348.928,223.598,2.25,321.245,13.02
0.85,8.316,31.890,31291.392,219.051,2.27,463.488,8.82
0.96,8.166,25.237,28272.64,253.845,1.97,542.502,7.49
0.94,8.439,31.969,26042.368,253.372,1.88,518.245,7.64
0.96,8.989,21.644,27273.216,276.397,1.78,520.236,7.78
0.94,8.880,23.763,23438.336,267.471,1.95,487.772,8.24
0.96,6.907,31.898,15088.64,290.879,1.61,505.675,7.07
1.16,8.647,28.901,9577.472,342.754,1.45,672.447,5.89
1.10,8.808,24.905,14735.36,337.063,1.43,650.859,6.11
1.24,8.111,22.044,8497.152,376.944,1.23,757.0,5.12
1.07,8.425,22.293,19440.64,322.858,1.38,599.395,6.47
1.02,9.379,22.645,19381.248,371.272,1.43,492.457,8.21
0.99,7.793,31.721,18790.4,339.188,1.37,459.079,8.10
0.72,8.371,30.180,48809.984,265.109,1.67,343.731,13.03
0.67,7.806,44.193,28015.616,240.007,1.97,318.151,12.66
0.70,8.356,39.798,38286.336,256.486,1.81,336.696,13.22
0.71,8.881,36.667,40360.96,250.608,1.97,328.621,13.66
0.70,8.670,34.227,42165.248,247.186,2.10,324.324,13.51
0.71,8.789,41.386,41689.088,247.247,1.93,323.361,13.44
0.70,9.023,34.337,44835.84,252.979,1.97,329.279,13.36
0.69,9.164,25.317,44640.256,247.350,1.90,319.251,13.59
0.68,8.926,26.942,49244.16,239.313,2.02,306.468,14.48
0.70,9.327,23.233,45428.736,249.678,2.00,324.763,13.13
0.70,8.982,26.887,47202.304,245.376,1.99,327.418,13.25
0.68,9.121,28.062,46527.488,217.584,2.12,303.644,13.48
0.77,6.698,36.183,22825.984,302.453,1.53,384.991,9.25
0.74,8.923,37.343,41530.368,222.942,2.12,369.411,11.17
0.91,8.321,49.714,24434.688,220.582,2.23,506.087,7.57
0.94,6.993,36.751,8672.256,287.327,1.48,486.932,6.67
0.93,9.030,35.589,33782.784,240.842,2.00,544.196,7.30
0.94,9.072,42.718,27006.976,244.109,2.12,531.865,7.43
0.92,8.808,34.147,27653.12,242.137,2.06,502.849,7.86
0.91,8.458,31.648,26073.088,232.733,1.99,470.647,7.93
1.02,9.042,26.239,26682.368,287.434,1.59,525.658,7.23
1.10,8.611,26.938,20800.512,329.875,1.39,619.652,6.18
1.21,8.859,28.721,9451.52,365.511,1.30,737.609,5.22
1.15,8.935,37.473,12908.544,346.529,1.33,707.35,5.46
1.10,8.400,35.230,11523.072,347.261,1.42,648.509,5.77
1.06,8.486,35.901,20619.264,318.550,1.43,590.864,6.44
1.00,7.668,49.177,20764.672,371.872,1.27,429.412,8.58
0.93,8.855,52.940,22502.4,308.244,1.64,458.022,8.22
0.53,7.270,115.859,14767.104,200.489,2.59,279.355,9.63
0.64,8.826,49.569,56566.784,245.168,1.80,320.245,13.56
0.59,9.136,47.846,62455.808,209.978,2.13,271.34,15.73
0.63,9.073,57.553,53551.104,230.822,2.03,304.317,14.92
0.58,8.462,58.668,52800.512,203.426,2.16,266.905,16.16
0.83,9.047,49.265,28775.424,219.469,2.09,475.679,8.43
0.65,8.965,73.227,50445.312,198.879,2.44,336.61,12.22
0.67,8.953,69.051,56756.224,205.182,2.05,323.142,12.46
0.65,9.350,55.130,56745.984,204.518,2.23,334.843,12.68
0.81,9.162,86.560,45018.112,186.354,2.41,492.224,8.03
0.83,9.130,67.021,48373.76,184.577,2.55,531.517,7.57
0.76,6.998,69.315,25754.624,260.550,1.64,413.209,7.92
0.92,8.768,57.593,43817.984,199.103,2.29,573.172,6.64
0.79,7.455,68.561,28261.376,246.033,1.65,437.488,7.57
0.93,9.272,37.576,38523.904,230.659,2.07,564.546,6.74
0.86,8.663,68.130,28747.776,204.425,2.33,526.999,6.84
0.87,7.444,33.762,26121.216,276.555,1.51,463.643,7.22
0.91,7.811,41.574,17880.064,246.162,1.93,523.806,6.22
1.01,7.775,36.224,21074.944,258.122,1.59,564.567,5.73
