r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
11.0,0.0,996992.0,4175323.2,136238.4,669991.2,28.8,0.0,52.8,11447.2,9013.2,15792.0,34.2,63.2,2.0,0.6,0.0
9.2,0.2,956930.4,3648479.2,39087.2,482136.8,212.8,0.0,8683.2,11532.8,8661.8,15815.6,32.6,64.8,2.4,0.2,0.0
9.8,0.2,1037442.4,4173895.2,37897.6,385986.4,113.6,0.0,5911.2,11636.8,8717.6,16153.0,35.6,62.0,2.2,0.8,0.0
9.4,0.0,1035138.4,4348624.8,104050.4,410081.6,1548.8,0.0,1614.2,22301.6,18192.2,36831.4,34.0,59.8,5.2,1.0,0.0
10.2,0.2,967200.0,3483439.2,132469.6,419890.4,77.6,0.0,77.6,24649.6,18245.8,35736.0,31.4,63.8,4.4,0.8,0.0
7.8,0.2,966564.8,4483597.6,138753.6,423918.4,21.6,0.0,187.4,25308.8,18663.2,36223.6,34.6,61.6,3.4,0.4,0.0
9.8,0.2,965904.8,4214584.8,140130.4,428761.6,80.8,0.0,96.8,23379.2,18191.0,33805.6,34.0,62.2,3.4,0.6,0.0
8.8,0.0,965492.0,4347604.8,140504.0,433525.6,53.6,0.0,55.2,23409.6,16512.6,35518.6,32.6,63.4,3.6,0.4,0.0
9.8,0.2,963145.6,4475024.0,141084.0,456822.4,1244.8,0.0,3183.6,23816.0,18358.0,37622.6,36.2,59.6,3.8,0.8,0.0
9.4,0.2,962590.4,5060212.0,141138.4,455697.6,101.6,0.0,102.4,24792.8,18420.4,36687.4,33.2,63.6,3.2,0.0,0.0
7.0,0.0,962088.8,4814110.4,141170.4,456358.4,21.6,0.0,329.0,23361.6,18315.8,34754.0,37.4,57.0,5.0,1.0,0.0
9.8,0.6,961651.2,4304049.6,141213.6,463486.4,13.6,0.0,13.6,23068.8,17753.8,36106.4,37.4,57.8,4.4,0.6,0.0
6.8,0.4,961277.6,5069453.6,141228.0,464274.4,12.8,0.0,12.8,23475.2,18015.8,33367.0,35.0,60.6,4.0,0.8,0.0
8.4,0.6,1446716.8,3833530.4,141246.4,459383.2,28.0,195208.8,28.8,214054.4,15975.8,27741.4,34.0,62.4,3.0,1.0,0.0
9.2,0.0,947175.2,4444477.6,141258.4,461003.2,24.0,0.0,62.4,23355.2,17231.2,34395.4,37.6,58.0,4.4,0.6,0.0
