ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.68,8.562,30.306,25483.264,272.762,1.75,368.639,12.14,9.6,0.4,1242063.2,1382592.0,34935.2,520689.6,14.4,95146.4,1699.6,111466.4,21261.2,32069.4,28.8,68.0,1.6,1.6,0.0,0.695045
0.73,10.278,28.43,47272.96,293.023,1.79,374.252,13.46,7.4,0.4,888364.0,2555458.4,101616.0,567408.0,7.2,0.0,816.8,27578.4,20657.2,40656.8,32.0,64.6,2.8,0.4,0.0,0.609507
0.73,10.088,26.284,33655.808,285.165,1.83,373.811,12.83,9.8,0.0,890924.0,3697384.0,114894.4,506630.4,2.4,517.6,314.0,29013.6,21298.0,39816.8,29.6,67.2,3.0,0.6,0.0,0.621877
0.67,7.687,35.183,26244.096,258.625,1.9,343.658,11.88,10.8,0.4,1173475.2,217788.8,36218.4,407000.0,7408.0,139789.6,8449.0,159176.8,19042.2,29813.8,26.4,70.8,1.6,1.0,0.0,0.672152
0.76,8.987,31.504,36769.792,285.392,1.72,369.631,12.86,9.4,0.0,908865.6,3312638.4,89738.4,390576.8,66.4,0.0,532.8,27073.6,17096.8,35634.4,33.6,62.6,3.4,0.0,0.0,0.628733
0.72,10.643,23.61,37755.904,284.931,1.85,368.493,13.25,9.0,0.0,908646.4,3034887.2,122060.8,405475.2,4.0,0.0,154.2,27070.4,19896.6,42499.6,29.8,67.6,2.6,0.0,0.0,0.558437
0.72,9.026,32.964,15462.4,270.993,1.93,354.064,13.01,11.0,0.4,987076.0,1280317.6,131373.6,411608.8,1235.2,46172.8,1724.0,69609.6,19646.6,37083.0,30.4,66.2,3.0,0.8,0.0,0.494429
0.75,10.033,19.184,35307.52,268.397,1.78,345.84,13.21,8.0,0.2,902384.8,3574711.2,134215.2,419869.6,117.6,0.0,735.8,26753.6,18910.8,38824.0,33.6,63.0,3.2,0.2,0.0,0.705733
0.72,9.822,23.811,33873.92,263.804,1.88,340.855,13.41,8.2,0.0,902150.4,4330380.8,135260.0,431078.4,9.6,0.0,96.8,27256.8,19704.8,39836.4,31.4,64.8,3.6,0.4,0.0,0.593877
0.7,9.93,17.782,36467.712,263.351,1.88,338.984,13.82,9.2,0.2,901932.0,4025750.4,135661.6,426974.4,24.8,0.0,156.4,24969.6,19628.0,39030.4,32.0,65.8,1.8,0.0,0.0,0.58034
0.71,10.521,21.733,31519.744,264.084,1.99,347.682,13.07,8.8,0.0,901904.0,4461268.8,135827.2,436364.8,8.0,0.0,8.0,29284.8,20670.0,43385.0,30.6,66.4,2.8,0.2,0.0,0.537698
0.74,8.952,26.939,38110.208,263.165,1.8,333.526,13.19,11.4,0.2,894300.0,4635378.4,135879.2,438878.4,11.2,0.0,78.2,25095.2,18056.2,35404.4,36.0,61.2,2.6,0.6,0.0,0.723099
0.71,7.136,27.151,20767.744,275.194,1.72,349.367,10.86,9.2,0.4,1376508.0,3141601.6,135916.0,442968.8,4.0,178486.4,12.0,198323.2,16649.6,27721.6,33.0,64.4,2.0,0.8,0.0,0.693152
0.7,9.915,24.162,34507.776,253.652,2.01,324.95,13.48,8.8,0.2,894040.0,4791904.8,136370.4,448442.4,0.0,0.0,40.0,26963.2,20679.8,40251.6,29.8,68.2,2.0,0.2,0.0,0.547731
0.72,10.782,22.511,38794.24,225.233,2.11,357.283,12.15,8.6,0.0,893988.0,4146768.0,136559.2,450718.4,7.2,0.0,391.6,25554.4,19687.8,43805.4,32.6,64.8,2.4,0.2,0.0,0.643104
0.76,9.864,22.808,35995.648,229.074,2.12,375.91,11.45,10.4,0.2,893933.6,4008060.0,136581.6,452256.0,0.0,0.0,70.2,28366.4,18993.2,39234.2,36.0,61.2,2.4,0.0,0.0,0.715736
0.79,9.763,24.154,30696.448,224.888,2.3,425.402,10.18,10.2,0.0,893782.4,4017571.2,136604.0,454096.8,37.6,0.0,92.8,24912.0,19661.2,37918.6,35.8,62.0,2.2,0.2,0.0,0.57666
0.9,11.05,25.931,17679.36,243.448,2.09,493.541,8.49,10.4,0.2,893728.0,3796780.8,136627.2,455216.0,6.4,0.0,6.4,27359.2,20012.6,45865.4,39.2,58.0,2.2,0.4,0.0,0.58186
0.85,10.566,21.254,22459.392,223.409,2.16,470.056,8.79,10.8,0.2,893690.4,4015488.0,136636.0,461395.2,1.6,0.0,1.6,26652.0,20461.6,43651.4,38.8,59.0,2.0,0.0,0.0,0.60709
0.89,10.802,19.444,20122.624,256.275,2.04,505.533,8.32,8.4,0.2,893340.0,4337580.8,136636.0,461250.4,0.8,0.0,1.6,24424.0,19727.8,42079.8,34.0,63.8,2.0,0.0,0.0,0.482349
0.97,9.505,26.64,19582.976,278.295,1.69,495.975,8.09,8.8,0.2,893968.0,4493719.2,136636.0,474566.4,1.6,0.0,15.2,25659.2,17428.0,37894.2,40.4,56.8,2.6,0.2,0.0,0.602129
0.97,10.45,22.821,18144.256,303.608,1.62,523.195,8.26,9.2,0.0,893968.0,4846368.0,136636.0,470632.8,4.8,0.0,6.4,28259.2,20073.2,43521.6,35.4,61.6,2.8,0.4,0.0,0.548375
0.89,9.377,21.099,18059.264,301.624,1.65,460.019,8.91,8.2,0.0,1066058.4,5175589.6,136640.0,469297.6,3.2,74427.2,3.2,97666.4,19370.8,37023.2,34.4,63.0,2.6,0.2,0.0,0.689572
1.07,9.852,25.24,15816.704,348.752,1.39,633.853,6.72,9.4,0.2,893820.0,5167323.2,136640.0,476544.8,2.4,0.0,2.4,23659.2,21745.2,40177.2,38.2,58.6,2.6,0.6,0.0,0.622456
0.91,9.09,28.707,11573.248,315.228,1.65,492.137,8.44,9.6,0.2,1105995.2,5267271.2,137062.4,502146.4,2.4,83751.2,2.4,105230.4,18612.4,36017.0,37.0,59.4,3.0,0.8,0.0,0.498856
0.99,10.467,26.729,13461.504,297.431,1.77,550.428,7.4,7.6,0.0,893236.8,4786852.0,137092.8,517185.6,24.0,0.0,153.8,26604.8,20081.2,41732.4,36.2,60.4,3.2,0.4,0.0,0.600791
