ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.68,8.562,30.306,25483.264,272.762,1.75,368.639,12.14
0.73,10.278,28.430,47272.96,293.023,1.79,374.252,13.46
0.73,10.088,26.284,33655.808,285.165,1.83,373.811,12.83
0.67,7.687,35.183,26244.096,258.625,1.90,343.658,11.88
0.76,8.987,31.504,36769.792,285.392,1.72,369.631,12.86
0.72,10.643,23.610,37755.904,284.931,1.85,368.493,13.25
0.72,9.026,32.964,15462.4,270.993,1.93,354.064,13.01
0.75,10.033,19.184,35307.52,268.397,1.78,345.84,13.21
0.72,9.822,23.811,33873.92,263.804,1.88,340.855,13.41
0.70,9.930,17.782,36467.712,263.351,1.88,338.984,13.82
0.71,10.521,21.733,31519.744,264.084,1.99,347.682,13.07
0.74,8.952,26.939,38110.208,263.165,1.80,333.526,13.19
0.71,7.136,27.151,20767.744,275.194,1.72,349.367,10.86
0.70,9.915,24.162,34507.776,253.652,2.01,324.95,13.48
0.72,10.782,22.511,38794.24,225.233,2.11,357.283,12.15
0.76,9.864,22.808,35995.648,229.074,2.12,375.91,11.45
0.79,9.763,24.154,30696.448,224.888,2.30,425.402,10.18
0.90,11.050,25.931,17679.36,243.448,2.09,493.541,8.49
0.85,10.566,21.254,22459.392,223.409,2.16,470.056,8.79
0.89,10.802,19.444,20122.624,256.275,2.04,505.533,8.32
0.97,9.505,26.640,19582.976,278.295,1.69,495.975,8.09
0.97,10.450,22.821,18144.256,303.608,1.62,523.195,8.26
0.89,9.377,21.099,18059.264,301.624,1.65,460.019,8.91
1.07,9.852,25.240,15816.704,348.752,1.39,633.853,6.72
0.91,9.090,28.707,11573.248,315.228,1.65,492.137,8.44
0.99,10.467,26.729,13461.504,297.431,1.77,550.428,7.40
1.01,10.431,25.429,16397.312,385.475,1.21,483.131,8.44
0.97,9.940,32.580,18711.552,346.259,1.39,473.178,8.80
0.67,7.429,40.268,28656.64,268.428,2.00,353.289,10.11
0.72,9.367,29.218,36307.968,277.026,1.77,364.374,13.13
0.71,9.359,32.472,34898.944,271.250,1.78,356.567,13.29
0.67,11.796,33.471,38417.408,265.173,2.02,349.069,14.35
0.67,11.583,30.819,40519.68,260.946,2.00,336.787,13.99
0.68,10.921,27.378,34293.76,255.544,1.90,332.458,13.98
0.81,11.481,30.686,20983.808,230.262,2.17,439.141,9.78
0.69,10.806,24.566,38072.32,253.545,1.99,331.007,13.87
0.68,11.951,28.970,33150.976,256.873,2.07,333.242,14.05
0.68,10.688,30.778,31204.352,245.344,2.22,322.341,13.47
0.64,11.387,21.970,37980.16,243.964,2.18,314.712,14.77
0.65,11.729,22.530,44964.864,239.305,2.15,306.657,15.11
0.95,10.322,25.268,1328.128,212.535,2.21,543.036,7.23
0.68,11.026,23.760,43790.336,220.339,2.27,348.512,12.72
0.74,10.136,24.253,37541.888,213.272,2.26,377.856,11.09
0.86,10.719,19.694,17482.752,228.086,2.31,508.011,8.59
0.86,10.706,22.470,25838.592,207.139,2.45,518.963,7.96
0.86,11.162,19.815,22719.488,232.067,2.34,529.621,8.18
0.89,11.674,17.557,24352.768,253.540,2.01,515.601,8.31
0.91,11.253,20.527,26609.664,257.944,1.82,497.491,8.35
0.93,9.399,32.607,24881.152,305.099,1.56,532.423,7.64
0.85,11.391,28.105,20934.656,287.842,1.71,469.076,8.66
1.02,10.920,24.227,18314.24,328.030,1.52,592.555,7.12
1.01,11.101,27.626,21846.016,324.748,1.49,582.54,7.22
1.12,11.139,17.405,3742.72,342.095,1.48,736.374,5.62
0.97,8.984,40.277,10225.664,312.590,1.49,538.586,6.84
0.90,9.338,41.435,15387.648,299.401,1.64,481.244,8.31
0.90,11.088,29.702,16086.016,329.458,1.61,481.461,8.71
0.58,8.575,66.772,18780.16,242.286,2.40,329.771,10.19
0.62,11.105,37.502,37057.536,246.454,1.99,328.794,14.52
0.64,11.039,34.053,38762.496,247.862,2.10,331.46,14.19
0.66,11.212,27.183,20180.992,248.645,1.92,333.944,13.92
0.61,13.120,32.516,37486.592,250.304,2.09,332.391,14.78
0.59,11.364,31.032,50196.48,227.288,2.14,293.761,15.58
0.61,12.889,32.497,40799.232,238.009,2.09,314.754,14.61
0.61,11.723,30.010,51073.024,240.137,2.09,314.707,14.94
0.58,12.472,33.134,51123.2,218.234,2.20,282.702,15.75
0.59,12.106,46.578,50152.448,219.003,2.49,289.378,15.57
0.62,12.613,38.892,47977.472,208.839,2.27,321.257,13.64
0.78,11.768,33.556,24017.92,216.633,2.40,456.085,9.27
0.80,11.654,28.016,38008.832,185.869,2.62,506.654,8.44
0.77,11.292,36.017,35088.384,175.448,2.78,460.135,8.64
0.64,9.916,38.423,20323.328,258.478,1.89,347.552,10.89
0.86,11.098,30.482,26359.808,198.991,2.38,520.302,7.62
0.89,10.358,28.106,25298.944,231.258,2.07,531.667,7.45
0.78,10.257,34.309,24356.864,265.054,1.83,448.102,8.70
0.80,11.202,27.880,23593.984,269.613,1.85,443.907,8.77
0.89,11.874,33.624,30801.92,265.293,1.86,496.604,8.39
1.00,11.512,29.589,23770.112,298.236,1.61,579.038,7.00
1.02,12.365,34.594,21009.408,350.943,1.42,636.001,6.68
1.20,11.040,32.270,15028.224,361.279,1.27,782.971,4.95
1.17,12.376,26.275,11277.312,363.705,1.28,795.275,5.13
0.99,12.196,44.455,17010.688,291.528,1.66,603.527,6.62
1.05,10.508,40.222,20120.576,315.523,1.36,606.926,6.36
0.93,12.356,23.187,27715.584,394.906,1.30,419.031,10.33
0.87,9.419,51.306,17191.936,283.082,1.56,392.675,8.89
0.48,7.981,63.898,8837.12,186.867,2.24,276.422,9.32
0.53,8.878,75.988,25047.04,206.187,2.16,289.029,12.90
0.56,10.969,34.219,53779.456,213.174,2.25,284.123,15.05
0.56,11.341,37.427,49800.192,215.541,2.21,282.852,15.52
0.80,11.719,34.196,33596.416,222.686,2.30,487.384,8.70
0.56,12.721,39.674,60329.984,232.463,2.15,304.891,15.61
0.57,12.245,41.160,61817.856,237.459,2.16,308.126,15.56
0.54,11.907,37.399,56781.824,198.133,2.43,293.88,15.44
0.53,12.731,27.270,51813.376,206.651,2.42,290.754,16.15
0.94,12.784,33.059,34725.888,201.176,2.34,627.403,6.50
0.70,11.685,41.433,48531.456,176.066,2.78,456.261,9.50
0.79,12.322,33.725,47482.88,183.906,2.56,559.515,7.92
0.78,13.517,50.006,36216.832,164.096,2.96,539.516,7.90
0.72,12.104,42.373,36473.856,232.127,2.12,460.078,8.88
0.92,12.823,37.395,35974.144,253.754,1.96,592.228,7.12
0.88,13.378,37.651,34694.144,228.617,1.92,541.129,7.54
0.74,11.926,45.048,24225.792,258.508,1.98,453.256,8.78
0.84,12.091,30.205,28289.024,231.944,2.12,505.869,8.25
0.88,10.550,43.851,16610.304,268.165,1.73,529.638,6.47
