ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.0,1036.0,2931439.2,188668.0,2104438.4,0.0,0.0,0.0,17261.6,14757.4,29058.8,27.2,69.8,3.0,0.0,0.0,1.51714
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.4,0.0,163303.2,1156796.8,41780.8,889248.0,165.6,69008.0,5759.2,83592.8,13611.2,27034.2,25.8,68.4,5.0,1.4,0.0,0.783272
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.6,0.2,1297775.2,1113046.4,59607.2,481178.4,904.0,16866.4,4720.8,35644.8,16452.4,31139.8,33.8,62.0,3.8,0.8,0.0,1.305769
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.0,1423068.8,2095663.2,95465.6,342252.0,224.8,0.0,1934.0,20991.2,20782.4,39382.0,29.2,65.8,4.6,0.6,0.0,0.595051
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.2,1409500.8,1765254.4,128283.2,400298.4,834.4,0.0,3028.8,23870.4,20591.8,41001.0,28.8,65.0,5.4,0.8,0.0,0.619253
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.0,1375043.2,2443343.2,137246.4,448166.4,7188.0,0.0,8762.4,20548.0,19913.8,38166.4,28.6,66.8,3.8,1.0,0.0,0.758441
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.6,0.8,1360144.0,3377809.6,139312.0,447787.2,100.0,0.0,131.8,24657.6,21600.4,42937.8,24.6,70.4,4.6,0.4,0.0,0.662273
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.2,1359529.6,3025709.6,139917.6,453160.8,104.8,0.0,114.4,22561.6,21436.4,39890.8,24.8,69.4,5.2,0.4,0.0,0.723718
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,0.0,1357584.0,3234436.8,140076.0,451668.0,96.0,0.0,96.0,21594.4,21070.4,38222.0,26.4,67.4,5.6,0.6,0.0,0.775554
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.2,1356640.0,4617257.6,140139.2,452242.4,127.2,0.0,216.8,18742.4,17574.8,35764.4,33.2,62.0,4.4,0.8,0.0,0.916465
