stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
7168M,50,30,1.517140
6912M,50,30,0.783272
6656M,50,30,1.305769
6400M,50,30,0.595051
6144M,50,30,0.619253
5888M,50,30,0.758441
5632M,50,30,0.662273
5376M,50,30,0.723718
5120M,50,30,0.775554
4864M,50,30,0.916465
4608M,50,30,0.708695
4352M,50,30,0.689343
4096M,50,30,0.725510
3840M,50,30,0.680128
3584M,50,30,0.851588
3328M,50,30,0.728503
3072M,50,30,0.772013
2816M,50,30,0.883655
2560M,50,30,0.853042
2304M,50,30,0.708324
2048M,50,30,0.718782
1792M,50,30,0.648405
1536M,50,30,0.746867
1280M,50,30,0.769442
1024M,50,30,0.728448
768M,50,30,0.893424
512M,50,30,0.858323
256M,50,30,0.686579
4k,50,30,0.673053
7168M,30,30,0.801931
6912M,30,30,0.905903
6656M,30,30,0.750786
6400M,30,30,0.568092
6144M,30,30,0.762140
5888M,30,30,0.723717
5632M,30,30,0.697757
5376M,30,30,0.733906
5120M,30,30,0.688232
4864M,30,30,0.733945
4608M,30,30,0.769688
4352M,30,30,0.636894
4096M,30,30,0.679503
3840M,30,30,0.737524
3584M,30,30,0.739624
3328M,30,30,0.681109
3072M,30,30,0.681610
2816M,30,30,0.713444
2560M,30,30,0.824724
2304M,30,30,0.608916
2048M,30,30,0.667576
1792M,30,30,0.620145
1536M,30,30,0.577194
1280M,30,30,0.648121
1024M,30,30,0.652549
768M,30,30,0.631646
512M,30,30,0.647808
256M,30,30,0.660073
4k,30,30,0.540278
7168M,10,30,0.654585
6912M,10,30,0.575390
6656M,10,30,0.539897
6400M,10,30,0.590098
6144M,10,30,0.561747
5888M,10,30,0.496274
5632M,10,30,0.561653
5376M,10,30,0.628558
5120M,10,30,0.598351
4864M,10,30,0.587107
4608M,10,30,0.580544
4352M,10,30,0.571302
4096M,10,30,0.631634
3840M,10,30,0.568476
3584M,10,30,0.535097
3328M,10,30,0.479054
3072M,10,30,0.675498
2816M,10,30,0.607035
2560M,10,30,0.538044
2304M,10,30,0.639702
2048M,10,30,0.530523
1792M,10,30,0.615100
1536M,10,30,0.685494
1280M,10,30,0.632961
1024M,10,30,0.571231
768M,10,30,0.597551
512M,10,30,0.634542
256M,10,30,0.698519
4k,10,30,0.423501
7168M,0,30,0.910034
6912M,0,30,0.607788
6656M,0,30,0.652034
6400M,0,30,0.545188
6144M,0,30,0.580916
5888M,0,30,0.687630
5632M,0,30,3.724980
5376M,0,30,2.753419
5120M,0,30,1.042426
4864M,0,30,0.868747
4608M,0,30,0.634413
4352M,0,30,0.616744
4096M,0,30,0.694094
3840M,0,30,0.811910
3584M,0,30,0.828730
3328M,0,30,0.778545
3072M,0,30,0.887993
2816M,0,30,0.774123
2560M,0,30,0.942299
2304M,0,30,0.982361
2048M,0,30,0.703779
1792M,0,30,0.797644
1536M,0,30,0.965889
1280M,0,30,0.989910
1024M,0,30,0.900538
768M,0,30,0.984454
512M,0,30,0.904481
256M,0,30,0.639429
4k,0,30,0.938998
7168M,50,20,1.182161
6912M,50,20,1.339573
6656M,50,20,0.749909
6400M,50,20,0.811525
6144M,50,20,0.940393
5888M,50,20,0.660492
5632M,50,20,0.903763
5376M,50,20,0.762853
5120M,50,20,0.900952
4864M,50,20,0.726668
4608M,50,20,0.859240
4352M,50,20,0.817549
4096M,50,20,0.692780
3840M,50,20,1.426788
3584M,50,20,0.662052
3328M,50,20,0.661996
3072M,50,20,0.573437
2816M,50,20,0.579096
2560M,50,20,0.716526
2304M,50,20,0.619726
2048M,50,20,0.704782
1792M,50,20,0.751782
1536M,50,20,0.873820
1280M,50,20,0.835803
1024M,50,20,0.598931
768M,50,20,0.786803
512M,50,20,0.725154
256M,50,20,0.651929
4k,50,20,0.580453
7168M,30,20,0.691152
6912M,30,20,0.886728
6656M,30,20,0.890128
6400M,30,20,1.069129
6144M,30,20,0.655292
5888M,30,20,0.593335
5632M,30,20,0.540560
5376M,30,20,0.695062
5120M,30,20,0.709957
4864M,30,20,0.654771
4608M,30,20,0.744298
4352M,30,20,0.723173
4096M,30,20,0.605393
3840M,30,20,0.620528
3584M,30,20,0.651209
3328M,30,20,0.650550
3072M,30,20,0.610651
2816M,30,20,0.705626
2560M,30,20,0.691165
2304M,30,20,0.656773
2048M,30,20,0.681935
1792M,30,20,0.585374
1536M,30,20,0.652422
1280M,30,20,0.675270
1024M,30,20,0.737089
768M,30,20,0.631123
512M,30,20,0.810489
256M,30,20,0.644541
