ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11
