ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.64,4.554,38.904,30644.224,202.821,1.87,262.279,11.79,7.8,0.8,1079510.4,450922.4,73652.0,988908.8,20.0,115769.6,28.0,131568.0,14250.4,21678.4,31.4,64.4,2.4,1.8,0.0,10.905650745738637
0.52,4.194,24.266,41142.272,164.996,1.8,205.453,13.91,8.2,0.2,840396.0,2442668.0,54601.6,921467.2,120.8,0.0,783.2,12804.0,9293.6,16775.0,35.0,61.4,3.2,0.6,0.0,13.413934240362426
0.47,3.403,25.831,17934.336,135.489,1.82,164.34,15.11,11.2,0.0,957638.4,1602553.6,35332.0,411594.4,76.8,0.0,4916.8,10714.4,7656.6,13292.6,41.8,55.0,3.0,0.6,0.0,22.544009344918383
0.5,4.215,21.361,40121.344,158.471,1.82,198.404,14.36,8.0,0.0,980576.0,3501177.6,49303.2,393835.2,3248.0,0.0,5413.6,12181.6,9567.4,16873.8,35.2,60.8,3.4,1.0,0.0,14.345943642575206
0.53,4.371,22.965,37102.592,158.991,1.85,199.105,13.91,10.4,1.0,976784.8,3335222.4,92075.2,404136.0,78.4,0.0,101.6,12980.0,10206.4,17762.8,36.0,60.0,3.6,0.6,0.0,14.52584589942027
0.51,4.019,19.647,33649.664,137.186,1.87,172.745,13.97,11.0,0.4,976252.8,3059136.8,113020.8,405505.6,96.8,0.0,110.4,11888.8,8984.4,15656.2,36.0,59.8,3.4,0.6,0.0,14.675027292340191
0.51,3.554,20.062,31088.64,122.291,1.85,153.741,14.49,10.2,0.2,975377.6,3669924.0,124124.8,405076.0,22.4,0.0,70.4,11502.4,8051.0,14354.2,34.6,62.0,3.2,0.6,0.0,19.292865044031387
0.51,3.658,20.687,30850.048,124.799,1.88,157.157,13.97,10.8,0.2,975296.0,3749226.4,131192.0,403678.4,36.0,0.0,203.2,11580.8,8485.0,14858.6,36.8,59.8,3.0,0.8,0.0,17.256399680828224
0.55,3.732,25.264,19272.704,153.89,1.88,194.162,12.67,9.4,0.0,974896.0,3085096.8,134584.8,416443.2,421.6,0.0,1601.2,10940.8,8422.8,14638.0,38.2,58.2,2.8,1.0,0.0,15.575875864400492
0.52,4.242,20.217,35896.32,154.574,1.88,193.744,14.47,8.8,0.2,974660.0,3185111.2,137044.0,421234.4,12.0,0.0,12.0,12381.6,9394.4,16541.8,38.4,58.4,2.6,0.6,0.0,13.436573424509591
0.52,3.937,21.482,32968.704,153.755,1.71,194.184,14.18,9.2,0.2,974336.0,3100920.0,138456.8,419480.8,49.6,0.0,52.0,12359.2,9114.8,15780.2,37.4,60.2,2.2,0.2,0.0,15.44079952633258
0.54,3.811,25.411,20617.216,146.093,1.73,182.743,13.83,11.2,0.4,974716.0,3732580.8,139108.8,421759.2,8.0,0.0,8.0,11754.4,8580.0,14853.0,40.0,57.6,1.8,0.4,0.0,16.222251393403006
0.56,3.699,21.821,22985.728,142.325,1.77,177.789,13.81,8.8,0.0,974460.0,3142917.6,139592.8,421136.8,49.6,0.0,63.2,11588.8,8219.2,14753.6,39.4,58.8,1.4,0.2,0.0,17.56361214041013
0.53,3.781,29.752,27026.432,137.202,1.89,172.667,14.45,8.4,0.4,974204.0,3689266.4,139872.8,423663.2,27.2,0.0,27.2,12072.0,8658.8,15599.2,38.8,59.4,2.0,0.4,0.0,15.736093045532549
0.58,3.786,30.242,20103.168,159.184,1.62,201.49,12.47,8.4,0.2,973436.0,3668419.2,140199.2,422575.2,16.0,0.0,16.8,12100.0,8535.6,15149.2,40.4,56.2,3.2,0.6,0.0,17.408308594725852
0.56,3.279,32.506,18227.2,141.93,1.68,174.587,12.82,8.8,0.4,994772.0,3517148.8,140307.2,423083.2,3.2,20096.0,51.2,30930.4,7519.4,12977.0,40.2,56.8,2.6,0.6,0.0,19.01605234870428
0.58,3.71,22.647,17062.912,162.576,1.73,200.191,12.19,8.0,1.4,963684.8,3989469.6,140348.0,428905.6,4.8,26772.8,4.8,38160.0,8345.6,14710.4,40.8,56.6,2.4,0.4,0.0,16.44061558867154
0.59,3.822,27.329,21776.384,156.692,1.66,197.17,12.25,10.2,0.2,934904.0,4631293.6,140412.0,427855.2,11.2,0.0,11.2,11954.4,8126.2,15072.4,38.6,58.8,2.4,0.2,0.0,15.795910358428957
0.58,3.778,21.363,14415.872,143.207,1.69,180.146,12.42,10.4,0.2,934623.2,4861484.8,140442.4,431717.6,24.0,0.0,37.6,11594.4,8373.0,14960.6,38.8,58.2,2.8,0.8,0.0,17.719530426295456
0.6,3.527,24.056,9558.016,136.085,1.71,173.712,11.85,8.0,0.6,934421.6,4870417.6,140460.8,429672.8,74.4,0.0,76.0,10908.0,7819.8,13607.4,40.4,56.0,3.0,0.4,0.0,18.15528036600136
0.55,4.063,18.53,20416.512,141.765,1.81,178.28,13.2,9.0,0.4,934226.4,5393788.0,140499.2,431852.0,25.6,0.0,54.4,12299.2,9353.0,16149.4,41.2,55.4,2.8,0.8,0.0,15.419736925924346
0.56,3.993,25.015,19764.224,147.766,1.81,182.155,12.67,7.8,0.2,933905.6,5726116.0,140923.2,426297.6,12.8,0.0,13.6,11895.2,8563.2,15178.2,42.0,55.0,2.6,0.4,0.0,13.877421617507936
0.58,3.114,26.678,9501.696,143.985,1.84,178.368,10.74,10.2,0.0,1175352.8,5355238.4,140932.0,433078.4,17.6,73636.8,24.8,83474.4,7967.8,12434.4,35.2,61.6,2.6,0.6,0.0,17.906151956586694
0.69,3.606,23.339,12130.304,123.428,1.99,236.366,8.15,9.4,0.4,926344.0,5595509.6,140940.0,433834.4,8.0,0.0,8.0,10851.2,8115.6,14009.4,43.4,53.6,3.0,0.6,0.0,16.601411259405502
0.61,3.36,27.407,7058.432,132.17,1.96,203.22,8.9,9.2,0.2,1197894.4,5598750.4,140942.4,434433.6,8.0,69940.0,8.0,80052.8,8735.2,13693.6,36.8,59.0,3.4,1.0,0.0,15.06887728245414
0.7,3.272,26.506,8905.728,149.854,1.73,242.906,8.15,9.8,0.4,1073296.0,5833144.0,140944.0,436340.8,6.4,57564.0,6.4,68368.8,8230.4,13220.0,41.2,55.0,3.0,0.8,0.0,18.9178832321889
0.8,3.317,24.181,4969.472,154.958,1.32,300.618,5.7,9.6,0.0,925364.0,5986697.6,140953.6,438349.6,0.8,0.0,0.8,11513.6,8142.8,13885.4,48.6,47.2,3.6,1.0,0.0,24.314717900368475
0.81,3.806,17.895,9537.536,197.544,1.21,258.745,7.67,10.4,0.4,925312.8,6322584.0,140960.0,438154.4,12.8,0.0,12.8,11762.4,8516.6,14530.0,44.4,52.4,3.0,0.8,0.0,17.730573637295613
0.44,4.055,20.516,1344.512,112.152,2.32,144.042,12.16,9.8,0.2,925108.0,6488504.0,140964.0,434325.6,11.2,17.6,11.2,12751.2,9212.2,16260.0,52.4,44.0,3.0,0.4,0.0,14.070100067926685
0.48,4.18,22.493,37770.24,137.037,1.97,173.086,14.75,9.6,0.0,925364.0,3353462.4,140984.0,435562.4,11.2,0.0,11.2,12916.8,9349.6,16962.6,33.0,62.6,3.8,0.4,0.0,12.409177200853332
0.5,3.729,27.66,37055.488,128.348,1.87,160.25,14.74,8.0,0.0,940144.0,3481298.4,40727.2,424380.0,22.4,0.0,1440.0,11700.8,8527.8,15181.6,32.6,62.8,3.6,0.8,0.0,14.621365361097382
0.48,3.759,33.158,35365.888,129.469,1.93,161.355,14.09,8.8,0.4,1003640.8,2978398.4,50412.8,360957.6,192.8,0.0,5629.6,11785.6,8640.0,15563.0,31.0,64.2,4.2,1.2,0.0,15.671499073505402
0.47,3.808,22.275,31998.976,117.794,2.07,145.505,14.99,7.0,0.4,1039287.2,3576802.4,52000.0,389112.0,2366.4,0.0,13794.0,10991.2,8624.0,14754.2,29.4,67.0,2.4,1.6,0.0,16.10137182649914
0.48,3.962,28.094,39074.816,132.322,1.98,168.107,14.98,10.6,0.0,1034140.0,3632350.4,90920.0,413952.8,188.8,0.0,584.2,11532.8,8914.8,15633.0,30.8,64.4,4.0,0.8,0.0,12.434232802618116
0.47,3.741,23.65,35612.672,123.357,1.87,153.373,14.83,9.0,0.2,1033168.0,3481890.4,110478.4,415652.0,24.8,0.0,39.2,11788.0,8215.6,14318.2,32.6,64.0,3.2,0.8,0.0,16.42516222628918
0.48,3.777,23.51,33353.728,121.769,1.94,154.101,14.66,9.8,0.0,1032235.2,3167938.4,122823.2,425461.6,1847.2,0.0,3332.2,11399.2,8637.6,15168.6,33.4,62.0,3.8,1.0,0.0,16.730152464842728
0.53,3.738,22.562,20281.344,138.736,1.75,174.979,13.53,11.6,0.2,1031468.8,3234815.2,129985.6,426137.6,43.2,0.0,43.2,11075.2,8458.2,14675.4,37.0,58.4,4.0,0.6,0.0,13.696208936438712
0.49,3.927,21.963,33061.888,134.817,1.84,167.749,15.63,9.6,0.2,1031044.0,2589341.6,134052.8,426436.0,42.4,0.0,52.0,12232.0,9048.0,16214.2,34.0,61.6,4.0,0.6,0.0,14.99374270439148
0.48,3.854,22.782,32701.44,122.879,1.97,154.24,14.66,8.0,0.0,999985.6,3699146.4,136620.8,425436.8,20.8,0.0,24.0,11543.2,8597.4,14902.4,35.0,59.6,4.2,1.0,0.0,14.691795788559258
0.48,3.945,20.638,31722.496,125.49,1.92,156.899,15.9,6.6,0.0,999822.4,3227747.2,138134.4,423134.4,38.4,0.0,127.2,12230.4,8742.2,16118.6,32.4,61.6,5.2,1.0,0.0,14.995278860268153
0.53,3.96,23.398,26236.928,145.557,1.74,186.346,13.46,8.8,0.4,999607.2,2855662.4,139056.8,427945.6,19.2,0.0,93.2,11668.0,8946.8,15526.6,37.2,58.2,3.8,0.6,0.0,14.056589899353456
0.52,3.915,23.506,28654.592,140.972,1.77,177.682,14.28,6.4,0.6,999378.4,3571648.8,139683.2,421060.8,17.6,0.0,45.6,12559.2,8945.4,16264.0,31.6,63.2,5.0,0.6,0.0,13.976792956507484
0.49,3.218,22.051,19852.288,118.753,1.77,149.88,14.03,9.4,0.6,999178.4,3383928.0,139960.8,425212.0,15.2,0.0,15.2,10190.4,7526.4,12927.6,35.0,61.2,3.4,0.6,0.0,19.663362815731865
0.54,3.733,28.503,20509.696,139.431,1.68,176.043,12.67,10.4,0.0,998138.4,4723676.8,140151.2,427871.2,25.6,0.0,51.2,11220.8,8418.0,14717.8,35.8,59.8,3.8,0.8,0.0,13.509531771199088
0.54,4.109,32.835,21727.232,146.397,1.84,187.426,12.91,8.4,0.0,998048.0,4830377.6,140267.2,432412.8,9.6,0.0,9.6,12486.4,8876.8,16008.0,37.6,58.6,3.2,0.8,0.0,11.717387475073338
0.55,3.651,24.36,24225.792,140.408,1.64,175.424,12.98,10.4,0.2,994221.6,4786377.6,140367.2,427520.8,15.2,0.0,15.2,12413.6,8552.0,15101.2,34.6,62.0,3.4,0.4,0.0,15.446984490682912
0.54,3.921,30.099,23830.528,144.595,1.74,180.482,13.09,9.2,0.2,994068.0,5036845.6,140435.2,428483.2,18.4,0.0,19.2,12524.8,8463.8,15413.4,35.2,60.8,3.6,0.6,0.0,13.271488265822043
0.51,3.06,26.801,14818.304,109.312,1.82,138.217,12.81,10.8,0.2,994576.0,5641672.0,140462.4,428716.0,6.4,0.0,7.2,9832.8,6879.2,12077.4,37.2,59.4,3.0,0.4,0.0,21.959533656600616
0.52,4.157,20.737,20677.632,134.174,1.94,171.58,13.37,6.6,0.0,994320.0,5595024.8,140498.4,434382.4,14.4,0.0,14.4,12224.0,9598.8,16886.6,36.4,58.6,4.4,1.0,0.0,11.591220501543706
0.56,4.258,22.528,24095.744,147.271,1.83,206.602,11.6,8.0,0.4,994320.0,5480646.4,140527.2,438606.4,12.8,0.0,12.8,12739.2,9218.2,16486.4,36.8,58.0,4.4,0.8,0.0,12.650534668130048
0.53,3.095,29.699,9588.736,130.634,1.9,164.605,11.06,10.0,0.4,1184063.2,5285769.6,140541.6,441819.2,17.6,60008.0,17.6,69573.6,8037.6,12306.4,34.8,60.2,3.8,1.4,0.0,16.98255133696386
0.6,3.946,23.602,17229.824,116.272,2.09,210.04,9.65,7.0,0.2,993816.0,5571251.2,140564.0,438224.8,6.4,0.0,7.2,11833.6,9146.4,15757.4,38.6,57.0,3.8,0.6,0.0,13.02336247070976
0.66,3.83,23.222,15168.512,113.428,2.02,241.089,7.79,8.6,0.4,993560.0,5663548.8,140575.2,438725.6,20.0,0.0,20.0,11433.6,8703.2,15327.2,40.8,55.0,3.8,0.8,0.0,15.870843614850726
0.71,4.181,24.315,18309.12,156.232,1.64,263.601,8.25,8.0,0.0,993304.0,5802344.0,140591.2,440266.4,15.2,0.0,16.0,12544.0,9285.8,16236.2,40.8,54.6,4.2,1.0,0.0,13.520592250181048
0.81,3.885,26.09,9500.672,167.897,1.39,308.423,6.19,7.8,1.0,992792.0,5992781.6,140604.0,441804.0,1.6,0.0,20.0,11820.8,8928.4,15462.6,42.6,52.2,4.4,1.0,0.0,14.155157914398409
0.63,3.0,29.688,8595.456,130.589,1.69,188.271,8.68,8.2,0.8,1168815.2,6127548.8,140616.8,436746.4,9.6,68308.8,9.6,76683.2,7102.4,10766.2,35.2,59.8,3.8,1.6,0.0,16.814442986216626
0.79,3.958,25.005,9230.336,185.388,1.31,265.082,7.04,8.8,0.0,992008.0,6288928.8,140627.2,440456.0,5.6,0.0,5.6,11923.2,8646.4,15595.0,43.8,50.8,4.8,0.8,0.0,12.931956813253208
0.4,4.31,19.897,1191.936,109.086,2.42,140.145,12.08,9.0,0.2,992216.8,6489063.2,140640.0,452484.0,8.0,17.6,24.8,12461.6,9665.0,16879.0,50.6,45.2,3.8,0.6,0.0,12.061126275321609
0.41,3.962,23.344,45678.592,125.111,1.89,154.072,15.35,6.6,0.6,992012.0,2060068.0,140640.8,443964.8,3.2,0.0,3.2,11473.6,8718.6,15764.0,24.2,69.6,5.4,1.0,0.0,11.767124194724888
0.4,3.942,24.746,38206.464,109.395,2.15,138.387,15.6,8.0,0.2,1013008.0,2656648.0,47541.6,411498.4,5.6,0.0,1083.2,11367.2,8899.2,15773.2,24.6,68.2,5.4,1.6,0.0,11.779459614182269
0.43,3.563,29.006,17055.744,109.356,1.81,136.842,15.3,8.0,0.2,1056252.0,2393380.0,54351.2,363145.6,76.0,0.0,4610.4,9979.2,7373.8,13027.0,31.6,61.4,6.2,1.4,0.0,14.6960668704089
0.4,4.006,24.486,40498.176,108.58,1.98,136.207,15.93,7.0,0.6,1083346.4,2875100.0,45209.6,343011.2,4468.8,0.0,5568.0,11813.6,9037.2,16135.2,23.0,69.8,5.2,2.2,0.0,12.525647069815554
0.46,3.49,38.668,19887.104,116.615,1.82,147.065,14.09,7.4,0.2,1082732.0,2359728.0,85124.8,345332.0,19.2,0.0,61.6,10541.6,7630.8,13500.2,30.4,63.4,5.2,1.0,0.0,12.54024565469271
0.4,3.997,33.176,42578.944,115.081,2.09,146.159,16.68,9.4,0.0,1082220.0,2689994.4,102848.0,347016.0,34.4,0.0,85.6,11380.8,8816.8,15717.2,25.8,67.4,6.0,1.0,0.0,11.395652937798443
0.41,3.421,33.618,26761.216,104.421,1.94,128.399,16.74,7.2,0.0,1081605.6,3420636.0,116116.0,346098.4,104.8,0.0,104.8,10199.2,7252.6,12851.6,31.6,63.6,4.4,0.8,0.0,12.047093077357037
0.44,3.808,31.972,35290.112,124.37,1.78,157.829,15.92,10.2,0.0,1038400.0,2430644.0,125492.0,353832.8,93.6,0.0,132.8,11624.8,8430.2,15401.0,28.2,64.4,6.6,1.0,0.0,12.118116051259667
0.41,4.024,26.352,33182.72,111.518,2.06,143.233,16.77,7.2,0.4,1038153.6,2487231.2,130082.4,353010.4,42.4,0.0,59.2,11947.2,9390.6,17144.0,27.6,64.8,6.4,1.2,0.0,12.068718252047686
0.45,3.795,35.878,27485.184,120.252,1.8,155.129,14.27,7.8,0.0,1038076.0,2414080.8,133045.6,353938.4,27.2,0.0,59.2,11115.2,8814.8,15724.6,30.0,63.4,5.6,1.2,0.0,12.685620507528617
0.41,3.816,31.094,31562.752,110.986,2.02,140.335,16.5,6.6,0.8,1038076.0,3097550.4,134301.6,351681.6,0.0,0.0,0.0,11362.4,8607.2,15786.4,27.4,67.6,4.8,1.0,0.0,12.0722439981276
0.46,3.986,22.353,25712.64,124.86,1.85,161.209,13.8,7.4,0.0,1037820.0,2980534.4,135592.8,355736.8,58.4,0.0,344.0,11938.4,9091.4,16265.4,27.8,66.0,5.2,0.8,0.0,11.68097801578855
0.47,3.963,24.47,25152.512,128.985,1.83,165.455,13.04,5.6,0.2,1037564.0,3474759.2,136286.4,359816.0,54.4,0.0,71.2,11458.4,8535.6,15394.8,28.8,63.8,7.0,1.0,0.0,11.068331335917415
0.46,3.749,26.193,21453.824,122.242,1.76,155.782,13.71,8.6,0.2,1037564.0,4335758.4,136751.2,353816.8,8.8,0.0,8.8,11140.8,8551.8,15205.0,27.6,64.8,6.8,1.0,0.0,13.646697456186468
0.51,3.615,28.433,10994.688,116.755,1.81,147.599,12.29,7.4,0.4,1037308.0,4214799.2,137037.6,359012.8,24.0,0.0,44.0,11296.0,7771.4,14507.6,29.8,64.4,5.6,0.6,0.0,12.919709086418152
0.46,3.235,38.612,18377.728,106.626,1.81,134.319,12.84,7.6,0.2,1037052.0,4733200.0,137161.6,356636.0,36.0,0.0,141.2,10060.0,6873.0,12355.0,30.8,63.4,4.8,1.2,0.0,16.500465777697485
0.5,3.86,26.739,15935.488,130.76,1.81,165.65,12.24,5.6,0.2,1036700.0,4479227.2,137298.4,355966.4,29.6,0.0,29.6,11392.0,8606.6,15575.0,29.8,63.4,6.0,1.2,0.0,11.943896928156514
0.46,4.444,25.356,27889.664,127.79,1.96,162.643,13.86,6.4,0.2,1036700.0,5466205.6,137970.4,354260.8,0.8,0.0,2.4,12285.6,9465.4,17368.6,29.4,62.6,6.8,1.2,0.0,9.968262209030328
0.45,3.799,32.115,25067.52,108.847,2.1,139.975,14.73,6.2,0.2,1032632.8,5558953.6,138032.0,362648.0,26.4,0.0,26.4,11288.8,8855.2,15799.0,30.6,62.0,6.4,1.0,0.0,11.462338098132882
0.47,3.939,29.52,24439.808,113.959,2.01,145.648,13.35,7.2,0.8,1032444.8,5693484.0,138064.0,361938.4,44.8,0.0,46.4,11872.8,9180.2,16819.6,31.4,60.6,6.6,1.6,0.0,11.50960885631832
0.6,4.199,30.202,23190.528,113.163,2.07,235.846,8.34,5.2,0.6,1031744.8,5522472.0,138081.6,362896.0,30.4,0.0,30.4,11611.2,9021.8,16656.4,31.6,61.4,5.8,1.4,0.0,10.794064375731322
0.65,4.167,27.85,20249.6,106.544,2.26,273.048,6.95,7.4,0.2,1031690.4,5413119.2,138112.8,362336.0,5.6,0.0,5.6,12630.4,9067.2,16510.2,33.8,59.4,6.0,0.8,0.0,10.2547421414628
0.63,4.061,23.113,15682.56,108.872,2.17,258.325,7.13,6.6,0.4,1031400.0,5445432.0,138132.8,364885.6,0.0,0.0,0.0,12129.6,8672.0,16248.2,36.8,56.4,6.2,1.0,0.0,10.82492218981581
0.72,4.374,21.273,17249.28,138.866,1.87,269.422,6.83,9.8,0.0,1031042.4,5805407.2,138524.0,371096.0,244.0,0.0,1191.8,12327.2,8925.6,16969.4,36.4,56.2,6.4,1.2,0.0,10.832298573830146
0.73,4.316,26.526,16136.192,147.953,1.6,284.15,6.54,6.8,0.2,1030980.0,5928606.4,138716.8,370730.4,9.6,0.0,44.8,12597.6,9978.6,18116.4,33.6,58.8,6.6,1.4,0.0,10.623300329167792
0.84,4.201,28.924,8992.768,190.656,1.2,378.766,4.83,6.8,0.0,1030882.4,5985633.6,138726.4,370434.4,1.6,0.0,1.6,12768.0,9263.6,17156.8,37.2,55.4,6.6,1.2,0.0,11.76278591156006
0.87,4.019,27.212,7316.48,169.379,1.29,376.702,4.48,8.0,0.0,1030652.8,6140953.6,138739.2,372920.8,20.8,0.0,20.8,12531.2,9135.8,16359.6,44.2,48.8,5.6,1.2,0.0,11.93313371567499
0.74,3.521,38.009,9267.2,165.398,1.35,233.757,6.8,7.0,0.6,1063112.0,6440028.8,138752.0,368085.6,66.4,21664.0,82.4,31704.0,7652.4,13280.6,35.2,59.2,4.6,1.4,0.0,12.027960740970466
0.29,4.576,19.981,991.126,86.514,2.87,113.911,11.89,7.0,0.0,1031130.4,6633750.4,138753.6,373848.8,4.8,28.8,12.0,13394.4,9775.2,17893.2,45.8,46.4,6.6,1.4,0.0,9.655269831658948
0.34,4.029,38.596,43826.176,116.217,2.14,146.309,15.22,5.6,0.0,1032666.4,1588747.2,112464.0,372364.8,4.8,1640.8,4.8,13784.0,9283.6,17315.0,19.0,72.4,7.4,1.0,0.0,10.52203805823075
0.34,3.347,41.959,36488.192,104.352,2.04,133.188,15.79,4.6,0.0,1078810.4,1216864.0,38400.8,396101.6,96.0,9629.6,3305.8,20086.4,8475.0,14625.2,18.6,74.4,5.0,1.6,0.0,12.754342611681375
0.54,7.202,32.625,28075.008,162.684,2.44,225.222,13.76,6.4,0.6,1142933.6,1142579.2,50464.8,304012.8,18840.0,27888.0,24071.4,44588.8,15165.4,26945.2,19.0,70.6,6.8,3.8,0.0,5.447684201327237
0.29,1.868,31.53,23433.216,57.136,2.15,70.095,17.49,11.6,0.0,1098995.2,4730344.0,72453.6,335363.2,2044.0,0.0,3636.6,5220.0,4348.2,6890.8,20.8,74.2,3.0,2.0,0.0,34.28163815065811
0.63,7.934,15.398,34912.256,197.437,2.13,257.058,14.14,7.6,0.0,1093528.8,2706141.6,105887.2,373780.0,283.2,0.0,753.2,20111.2,16471.0,31089.2,21.0,67.4,10.0,1.6,0.0,4.515543321783415
0.55,8.326,15.27,48129.024,174.95,2.39,231.924,15.51,4.4,1.2,1092151.2,4149484.0,128203.2,379494.4,33.6,0.0,33.6,22728.0,16981.6,33589.0,23.4,66.8,8.4,1.4,0.0,4.588521640479656
0.59,7.863,17.924,49146.88,186.067,2.23,242.859,14.7,6.0,0.4,1091229.6,4653372.8,135713.6,380220.8,77.6,0.0,155.2,21676.8,15739.6,30655.4,24.4,66.6,8.2,1.4,0.0,4.654558549016159
0.56,8.618,22.818,52442.112,187.912,2.47,247.796,15.36,6.2,0.0,1090261.6,4545320.8,138588.0,386134.4,82.4,0.0,94.4,25572.8,16837.0,34323.4,21.2,69.0,8.8,0.8,0.0,3.824509528218484
0.79,8.42,24.161,29041.664,175.57,2.54,397.78,8.41,7.0,0.2,1087764.0,3045723.2,139574.4,411796.8,7.2,0.0,7.2,23148.0,16941.8,33069.6,26.2,64.8,8.0,1.4,0.0,4.019461886983523
0.67,8.34,34.667,53554.176,159.662,2.81,342.391,10.45,7.4,0.4,1087396.8,3852552.0,139917.6,413006.4,12.8,0.0,13.6,25361.6,16210.4,33502.0,23.0,68.4,7.8,0.8,0.0,3.844430157586196
0.63,7.233,43.283,51122.176,156.843,2.63,285.7,11.58,7.0,0.0,1087140.0,4068862.4,140046.4,413210.4,23.2,0.0,23.2,23656.8,14635.6,29065.8,24.4,68.0,7.2,0.4,0.0,4.455256373465725
0.62,8.063,16.021,46840.832,154.708,2.64,280.071,11.48,6.0,0.8,1086664.0,4261924.0,140236.0,412941.6,36.8,0.0,497.4,21394.4,16348.6,31955.6,22.4,65.0,10.6,1.8,0.0,4.635759775526101
0.79,8.707,13.108,39844.864,143.101,3.15,444.386,7.42,6.0,0.2,1086395.2,3626038.4,140254.4,414852.8,8.8,0.0,8.8,22449.6,17483.0,33724.0,28.2,62.4,7.6,1.8,0.0,3.805527611384316
0.75,8.028,17.982,38161.408,135.24,3.05,383.542,7.9,6.4,0.0,1086107.2,3989427.2,140284.0,417345.6,16.8,0.0,16.8,22761.6,15893.4,32222.2,25.4,65.2,8.4,1.0,0.0,4.427286159340705
1.04,8.296,15.655,6649.856,187.51,2.17,512.183,5.28,6.4,0.2,1085984.0,3707939.2,140311.2,415504.8,6.4,0.0,32.0,21443.2,16806.8,32601.8,34.8,54.4,8.8,2.0,0.0,4.482256101029514
0.83,7.274,13.778,31759.36,132.312,2.69,412.727,6.6,4.4,0.2,1081881.6,3907998.4,140369.6,422429.6,1208.8,0.0,1281.6,20574.4,14901.4,28741.0,31.0,59.8,8.0,1.2,0.0,5.608039218984662
0.9,8.689,13.324,32774.144,175.678,2.43,468.184,6.46,5.6,0.0,1081744.0,4175888.0,140492.0,418725.6,6.4,0.0,17.0,21884.8,17596.0,33987.0,31.2,57.8,9.0,2.2,0.0,4.385819989743683
1.04,8.532,13.98,21625.856,229.884,1.89,506.286,5.83,6.2,0.4,1081648.0,4466980.0,140507.2,422482.4,4.0,0.0,4.0,23073.6,17990.4,34705.2,30.6,59.4,8.4,1.8,0.0,4.188115408502202
0.97,8.17,21.652,34875.392,222.717,1.94,455.805,6.82,7.0,0.2,1081593.6,4956479.2,140527.2,422141.6,11.2,0.0,11.2,21339.2,16946.2,32434.6,31.2,59.6,7.6,1.8,0.0,4.279216811284264
0.99,8.633,15.064,35147.776,229.173,1.86,480.979,6.54,5.8,0.0,1081330.4,4878005.6,140536.0,420268.8,12.8,0.0,14.4,22697.6,17206.8,33409.6,29.6,59.2,9.6,1.8,0.0,4.233199155936807
