stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
7168M,50,30,10.905650745738637
6912M,50,30,13.413934240362426
6656M,50,30,22.544009344918386
6400M,50,30,14.345943642575206
6144M,50,30,14.52584589942027
5888M,50,30,14.675027292340193
5632M,50,30,19.292865044031387
5376M,50,30,17.256399680828224
5120M,50,30,15.575875864400492
4864M,50,30,13.436573424509593
4608M,50,30,15.44079952633258
4352M,50,30,16.222251393403006
4096M,50,30,17.56361214041013
3840M,50,30,15.736093045532547
3584M,50,30,17.408308594725852
3328M,50,30,19.016052348704278
3072M,50,30,16.44061558867154
2816M,50,30,15.795910358428957
2560M,50,30,17.719530426295456
2304M,50,30,18.15528036600136
2048M,50,30,15.419736925924346
1792M,50,30,13.877421617507935
1536M,50,30,17.906151956586694
1280M,50,30,16.601411259405502
1024M,50,30,15.06887728245414
768M,50,30,18.9178832321889
512M,50,30,24.314717900368475
256M,50,30,17.730573637295613
4k,50,30,14.070100067926683
7168M,30,30,12.409177200853332
6912M,30,30,14.621365361097382
6656M,30,30,15.671499073505402
6400M,30,30,16.10137182649914
6144M,30,30,12.434232802618117
5888M,30,30,16.42516222628918
5632M,30,30,16.730152464842728
5376M,30,30,13.696208936438712
5120M,30,30,14.99374270439148
4864M,30,30,14.691795788559258
4608M,30,30,14.995278860268153
4352M,30,30,14.056589899353456
4096M,30,30,13.976792956507483
3840M,30,30,19.663362815731862
3584M,30,30,13.509531771199088
3328M,30,30,11.717387475073338
3072M,30,30,15.446984490682913
2816M,30,30,13.271488265822045
2560M,30,30,21.959533656600616
2304M,30,30,11.591220501543706
2048M,30,30,12.650534668130048
1792M,30,30,16.98255133696386
1536M,30,30,13.02336247070976
1280M,30,30,15.870843614850726
1024M,30,30,13.520592250181048
768M,30,30,14.155157914398409
512M,30,30,16.814442986216626
256M,30,30,12.931956813253207
4k,30,30,12.061126275321607
7168M,10,30,11.767124194724888
6912M,10,30,11.779459614182269
6656M,10,30,14.6960668704089
6400M,10,30,12.525647069815554
6144M,10,30,12.54024565469271
