ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.64,4.554,38.904,30644.224,202.821,1.87,262.279,11.79
0.52,4.194,24.266,41142.272,164.996,1.80,205.453,13.91
0.47,3.403,25.831,17934.336,135.489,1.82,164.34,15.11
0.50,4.215,21.361,40121.344,158.471,1.82,198.404,14.36
0.53,4.371,22.965,37102.592,158.991,1.85,199.105,13.91
0.51,4.019,19.647,33649.664,137.186,1.87,172.745,13.97
0.51,3.554,20.062,31088.64,122.291,1.85,153.741,14.49
0.51,3.658,20.687,30850.048,124.799,1.88,157.157,13.97
0.55,3.732,25.264,19272.704,153.890,1.88,194.162,12.67
0.52,4.242,20.217,35896.32,154.574,1.88,193.744,14.47
0.52,3.937,21.482,32968.704,153.755,1.71,194.184,14.18
0.54,3.811,25.411,20617.216,146.093,1.73,182.743,13.83
0.56,3.699,21.821,22985.728,142.325,1.77,177.789,13.81
0.53,3.781,29.752,27026.432,137.202,1.89,172.667,14.45
0.58,3.786,30.242,20103.168,159.184,1.62,201.49,12.47
0.56,3.279,32.506,18227.2,141.930,1.68,174.587,12.82
0.58,3.71,22.647,17062.912,162.576,1.73,200.191,12.19
0.59,3.822,27.329,21776.384,156.692,1.66,197.17,12.25
0.58,3.778,21.363,14415.872,143.207,1.69,180.146,12.42
0.60,3.527,24.056,9558.016,136.085,1.71,173.712,11.85
0.55,4.063,18.530,20416.512,141.765,1.81,178.28,13.20
0.56,3.993,25.015,19764.224,147.766,1.81,182.155,12.67
0.58,3.114,26.678,9501.696,143.985,1.84,178.368,10.74
0.69,3.606,23.339,12130.304,123.428,1.99,236.366,8.15
0.61,3.36,27.407,7058.432,132.170,1.96,203.22,8.90
0.70,3.272,26.506,8905.728,149.854,1.73,242.906,8.15
0.80,3.317,24.181,4969.472,154.958,1.32,300.618,5.70
0.81,3.806,17.895,9537.536,197.544,1.21,258.745,7.67
0.44,4.055,20.516,1344.512,112.152,2.32,144.042,12.16
0.48,4.18,22.493,37770.24,137.037,1.97,173.086,14.75
0.50,3.729,27.660,37055.488,128.348,1.87,160.25,14.74
0.48,3.759,33.158,35365.888,129.469,1.93,161.355,14.09
0.47,3.808,22.275,31998.976,117.794,2.07,145.505,14.99
0.48,3.962,28.094,39074.816,132.322,1.98,168.107,14.98
0.47,3.741,23.650,35612.672,123.357,1.87,153.373,14.83
0.48,3.777,23.510,33353.728,121.769,1.94,154.101,14.66
0.53,3.738,22.562,20281.344,138.736,1.75,174.979,13.53
0.49,3.927,21.963,33061.888,134.817,1.84,167.749,15.63
0.48,3.854,22.782,32701.44,122.879,1.97,154.24,14.66
0.48,3.945,20.638,31722.496,125.490,1.92,156.899,15.90
0.53,3.96,23.398,26236.928,145.557,1.74,186.346,13.46
0.52,3.915,23.506,28654.592,140.972,1.77,177.682,14.28
0.49,3.218,22.051,19852.288,118.753,1.77,149.88,14.03
0.54,3.733,28.503,20509.696,139.431,1.68,176.043,12.67
0.54,4.109,32.835,21727.232,146.397,1.84,187.426,12.91
0.55,3.651,24.360,24225.792,140.408,1.64,175.424,12.98
0.54,3.921,30.099,23830.528,144.595,1.74,180.482,13.09
0.51,3.06,26.801,14818.304,109.312,1.82,138.217,12.81
0.52,4.157,20.737,20677.632,134.174,1.94,171.58,13.37
0.56,4.258,22.528,24095.744,147.271,1.83,206.602,11.60
0.53,3.095,29.699,9588.736,130.634,1.90,164.605,11.06
0.60,3.946,23.602,17229.824,116.272,2.09,210.04,9.65
0.66,3.83,23.222,15168.512,113.428,2.02,241.089,7.79
0.71,4.181,24.315,18309.12,156.232,1.64,263.601,8.25
0.81,3.885,26.090,9500.672,167.897,1.39,308.423,6.19
0.63,3.0,29.688,8595.456,130.589,1.69,188.271,8.68
0.79,3.958,25.005,9230.336,185.388,1.31,265.082,7.04
