r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.8,0.8,1079510.4,450922.4,73652.0,988908.8,20.0,115769.6,28.0,131568.0,14250.4,21678.4,31.4,64.4,2.4,1.8,0.0
8.2,0.2,840396.0,2442668.0,54601.6,921467.2,120.8,0.0,783.2,12804.0,9293.6,16775.0,35.0,61.4,3.2,0.6,0.0
11.2,0.0,957638.4,1602553.6,35332.0,411594.4,76.8,0.0,4916.8,10714.4,7656.6,13292.6,41.8,55.0,3.0,0.6,0.0
8.0,0.0,980576.0,3501177.6,49303.2,393835.2,3248.0,0.0,5413.6,12181.6,9567.4,16873.8,35.2,60.8,3.4,1.0,0.0
10.4,1.0,976784.8,3335222.4,92075.2,404136.0,78.4,0.0,101.6,12980.0,10206.4,17762.8,36.0,60.0,3.6,0.6,0.0
11.0,0.4,976252.8,3059136.8,113020.8,405505.6,96.8,0.0,110.4,11888.8,8984.4,15656.2,36.0,59.8,3.4,0.6,0.0
10.2,0.2,975377.6,3669924.0,124124.8,405076.0,22.4,0.0,70.4,11502.4,8051.0,14354.2,34.6,62.0,3.2,0.6,0.0
10.8,0.2,975296.0,3749226.4,131192.0,403678.4,36.0,0.0,203.2,11580.8,8485.0,14858.6,36.8,59.8,3.0,0.8,0.0
9.4,0.0,974896.0,3085096.8,134584.8,416443.2,421.6,0.0,1601.2,10940.8,8422.8,14638.0,38.2,58.2,2.8,1.0,0.0
8.8,0.2,974660.0,3185111.2,137044.0,421234.4,12.0,0.0,12.0,12381.6,9394.4,16541.8,38.4,58.4,2.6,0.6,0.0
9.2,0.2,974336.0,3100920.0,138456.8,419480.8,49.6,0.0,52.0,12359.2,9114.8,15780.2,37.4,60.2,2.2,0.2,0.0
11.2,0.4,974716.0,3732580.8,139108.8,421759.2,8.0,0.0,8.0,11754.4,8580.0,14853.0,40.0,57.6,1.8,0.4,0.0
8.8,0.0,974460.0,3142917.6,139592.8,421136.8,49.6,0.0,63.2,11588.8,8219.2,14753.6,39.4,58.8,1.4,0.2,0.0
8.4,0.4,974204.0,3689266.4,139872.8,423663.2,27.2,0.0,27.2,12072.0,8658.8,15599.2,38.8,59.4,2.0,0.4,0.0
8.4,0.2,973436.0,3668419.2,140199.2,422575.2,16.0,0.0,16.8,12100.0,8535.6,15149.2,40.4,56.2,3.2,0.6,0.0
8.8,0.4,994772.0,3517148.8,140307.2,423083.2,3.2,20096.0,51.2,30930.4,7519.4,12977.0,40.2,56.8,2.6,0.6,0.0
8.0,1.4,963684.8,3989469.6,140348.0,428905.6,4.8,26772.8,4.8,38160.0,8345.6,14710.4,40.8,56.6,2.4,0.4,0.0
10.2,0.2,934904.0,4631293.6,140412.0,427855.2,11.2,0.0,11.2,11954.4,8126.2,15072.4,38.6,58.8,2.4,0.2,0.0
10.4,0.2,934623.2,4861484.8,140442.4,431717.6,24.0,0.0,37.6,11594.4,8373.0,14960.6,38.8,58.2,2.8,0.8,0.0
8.0,0.6,934421.6,4870417.6,140460.8,429672.8,74.4,0.0,76.0,10908.0,7819.8,13607.4,40.4,56.0,3.0,0.4,0.0
9.0,0.4,934226.4,5393788.0,140499.2,431852.0,25.6,0.0,54.4,12299.2,9353.0,16149.4,41.2,55.4,2.8,0.8,0.0
7.8,0.2,933905.6,5726116.0,140923.2,426297.6,12.8,0.0,13.6,11895.2,8563.2,15178.2,42.0,55.0,2.6,0.4,0.0
10.2,0.0,1175352.8,5355238.4,140932.0,433078.4,17.6,73636.8,24.8,83474.4,7967.8,12434.4,35.2,61.6,2.6,0.6,0.0
9.4,0.4,926344.0,5595509.6,140940.0,433834.4,8.0,0.0,8.0,10851.2,8115.6,14009.4,43.4,53.6,3.0,0.6,0.0
9.2,0.2,1197894.4,5598750.4,140942.4,434433.6,8.0,69940.0,8.0,80052.8,8735.2,13693.6,36.8,59.0,3.4,1.0,0.0
9.8,0.4,1073296.0,5833144.0,140944.0,436340.8,6.4,57564.0,6.4,68368.8,8230.4,13220.0,41.2,55.0,3.0,0.8,0.0
9.6,0.0,925364.0,5986697.6,140953.6,438349.6,0.8,0.0,0.8,11513.6,8142.8,13885.4,48.6,47.2,3.6,1.0,0.0
10.4,0.4,925312.8,6322584.0,140960.0,438154.4,12.8,0.0,12.8,11762.4,8516.6,14530.0,44.4,52.4,3.0,0.8,0.0
9.8,0.2,925108.0,6488504.0,140964.0,434325.6,11.2,17.6,11.2,12751.2,9212.2,16260.0,52.4,44.0,3.0,0.4,0.0
9.6,0.0,925364.0,3353462.4,140984.0,435562.4,11.2,0.0,11.2,12916.8,9349.6,16962.6,33.0,62.6,3.8,0.4,0.0
8.0,0.0,940144.0,3481298.4,40727.2,424380.0,22.4,0.0,1440.0,11700.8,8527.8,15181.6,32.6,62.8,3.6,0.8,0.0
8.8,0.4,1003640.8,2978398.4,50412.8,360957.6,192.8,0.0,5629.6,11785.6,8640.0,15563.0,31.0,64.2,4.2,1.2,0.0
7.0,0.4,1039287.2,3576802.4,52000.0,389112.0,2366.4,0.0,13794.0,10991.2,8624.0,14754.2,29.4,67.0,2.4,1.6,0.0
10.6,0.0,1034140.0,3632350.4,90920.0,413952.8,188.8,0.0,584.2,11532.8,8914.8,15633.0,30.8,64.4,4.0,0.8,0.0
9.0,0.2,1033168.0,3481890.4,110478.4,415652.0,24.8,0.0,39.2,11788.0,8215.6,14318.2,32.6,64.0,3.2,0.8,0.0
9.8,0.0,1032235.2,3167938.4,122823.2,425461.6,1847.2,0.0,3332.2,11399.2,8637.6,15168.6,33.4,62.0,3.8,1.0,0.0
11.6,0.2,1031468.8,3234815.2,129985.6,426137.6,43.2,0.0,43.2,11075.2,8458.2,14675.4,37.0,58.4,4.0,0.6,0.0
9.6,0.2,1031044.0,2589341.6,134052.8,426436.0,42.4,0.0,52.0,12232.0,9048.0,16214.2,34.0,61.6,4.0,0.6,0.0
8.0,0.0,999985.6,3699146.4,136620.8,425436.8,20.8,0.0,24.0,11543.2,8597.4,14902.4,35.0,59.6,4.2,1.0,0.0
6.6,0.0,999822.4,3227747.2,138134.4,423134.4,38.4,0.0,127.2,12230.4,8742.2,16118.6,32.4,61.6,5.2,1.0,0.0
8.8,0.4,999607.2,2855662.4,139056.8,427945.6,19.2,0.0,93.2,11668.0,8946.8,15526.6,37.2,58.2,3.8,0.6,0.0
6.4,0.6,999378.4,3571648.8,139683.2,421060.8,17.6,0.0,45.6,12559.2,8945.4,16264.0,31.6,63.2,5.0,0.6,0.0
9.4,0.6,999178.4,3383928.0,139960.8,425212.0,15.2,0.0,15.2,10190.4,7526.4,12927.6,35.0,61.2,3.4,0.6,0.0
10.4,0.0,998138.4,4723676.8,140151.2,427871.2,25.6,0.0,51.2,11220.8,8418.0,14717.8,35.8,59.8,3.8,0.8,0.0
8.4,0.0,998048.0,4830377.6,140267.2,432412.8,9.6,0.0,9.6,12486.4,8876.8,16008.0,37.6,58.6,3.2,0.8,0.0
10.4,0.2,994221.6,4786377.6,140367.2,427520.8,15.2,0.0,15.2,12413.6,8552.0,15101.2,34.6,62.0,3.4,0.4,0.0
9.2,0.2,994068.0,5036845.6,140435.2,428483.2,18.4,0.0,19.2,12524.8,8463.8,15413.4,35.2,60.8,3.6,0.6,0.0
10.8,0.2,994576.0,5641672.0,140462.4,428716.0,6.4,0.0,7.2,9832.8,6879.2,12077.4,37.2,59.4,3.0,0.4,0.0
6.6,0.0,994320.0,5595024.8,140498.4,434382.4,14.4,0.0,14.4,12224.0,9598.8,16886.6,36.4,58.6,4.4,1.0,0.0
8.0,0.4,994320.0,5480646.4,140527.2,438606.4,12.8,0.0,12.8,12739.2,9218.2,16486.4,36.8,58.0,4.4,0.8,0.0
10.0,0.4,1184063.2,5285769.6,140541.6,441819.2,17.6,60008.0,17.6,69573.6,8037.6,12306.4,34.8,60.2,3.8,1.4,0.0
7.0,0.2,993816.0,5571251.2,140564.0,438224.8,6.4,0.0,7.2,11833.6,9146.4,15757.4,38.6,57.0,3.8,0.6,0.0
8.6,0.4,993560.0,5663548.8,140575.2,438725.6,20.0,0.0,20.0,11433.6,8703.2,15327.2,40.8,55.0,3.8,0.8,0.0
8.0,0.0,993304.0,5802344.0,140591.2,440266.4,15.2,0.0,16.0,12544.0,9285.8,16236.2,40.8,54.6,4.2,1.0,0.0
7.8,1.0,992792.0,5992781.6,140604.0,441804.0,1.6,0.0,20.0,11820.8,8928.4,15462.6,42.6,52.2,4.4,1.0,0.0
8.2,0.8,1168815.2,6127548.8,140616.8,436746.4,9.6,68308.8,9.6,76683.2,7102.4,10766.2,35.2,59.8,3.8,1.6,0.0
8.8,0.0,992008.0,6288928.8,140627.2,440456.0,5.6,0.0,5.6,11923.2,8646.4,15595.0,43.8,50.8,4.8,0.8,0.0
9.0,0.2,992216.8,6489063.2,140640.0,452484.0,8.0,17.6,24.8,12461.6,9665.0,16879.0,50.6,45.2,3.8,0.6,0.0
6.6,0.6,992012.0,2060068.0,140640.8,443964.8,3.2,0.0,3.2,11473.6,8718.6,15764.0,24.2,69.6,5.4,1.0,0.0
