stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
7168M,50,30,10.418773734051248
6912M,50,30,8.284078466481175
6656M,50,30,10.376468249258286
6400M,50,30,7.4126456171421
6144M,50,30,8.220756986013654
5888M,50,30,6.973146420835199
5632M,50,30,6.364378453313418
5376M,50,30,6.356646880618082
5120M,50,30,6.58593754191975
4864M,50,30,6.479870306478964
4608M,50,30,5.8702397416551015
4352M,50,30,7.180963733239088
4096M,50,30,7.179917261272133
3840M,50,30,5.840354495578342
3584M,50,30,6.217055712728669
3328M,50,30,6.142606256438084
3072M,50,30,6.233168986631778
2816M,50,30,7.654437312373409
2560M,50,30,5.968961345247064
2304M,50,30,6.773598450051862
2048M,50,30,7.903392837041285
1792M,50,30,6.878512714980939
1536M,50,30,6.99345400619952
1280M,50,30,7.0091537564818625
1024M,50,30,6.785793002374571
768M,50,30,8.37184064215122
512M,50,30,6.722054758861294
256M,50,30,7.235130153605389
4k,50,30,5.757437557725669
7168M,30,30,7.779011621240203
6912M,30,30,5.354407429695129
6656M,30,30,5.932013981406114
6400M,30,30,5.2435907061853015
6144M,30,30,5.093246166647342
5888M,30,30,4.906660406171983
5632M,30,30,4.764768917849109
5376M,30,30,5.4316892476916205
5120M,30,30,6.161531220972232
4864M,30,30,5.184896677010612
4608M,30,30,4.955336982392041
4352M,30,30,5.223930920458006
4096M,30,30,5.433977893127276
3840M,30,30,5.123723470247709
3584M,30,30,5.638288083439824
3328M,30,30,5.947739330690299
3072M,30,30,4.61497097588026
2816M,30,30,4.947297250477001
2560M,30,30,5.897938266513854
2304M,30,30,5.044873515363494
2048M,30,30,5.538005705461485
1792M,30,30,5.209005780058463
1536M,30,30,5.410645842982544
1280M,30,30,4.728176804371061
1024M,30,30,5.679877418460268
768M,30,30,5.486214150012576
512M,30,30,4.698822677696013
256M,30,30,5.353219387678295
4k,30,30,4.785760523031313
7168M,10,30,7.988245604676349
6912M,10,30,8.797635430814235
6656M,10,30,4.862856304171795
6400M,10,30,5.764694397266095
6144M,10,30,4.46610372574603
5888M,10,30,4.770820051975235
5632M,10,30,4.806963653686817
5376M,10,30,4.4826056053144505
5120M,10,30,3.988165420765728
4864M,10,30,4.958189647980619
4608M,10,30,5.80028546847965
4352M,10,30,4.466606323480962
4096M,10,30,4.507584679395633
3840M,10,30,4.48012031247263
3584M,10,30,5.07406021472271
3328M,10,30,5.589897730457249
3072M,10,30,4.320831636717073
2816M,10,30,4.570180917639634
2560M,10,30,4.899596934033921
2304M,10,30,3.7979565947983502
2048M,10,30,4.927838152318875
1792M,10,30,3.857771555582682
1536M,10,30,4.3601842145371075
