ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),Swap Space,Idle Memory,Buffer,Cache,Swap In,Swap Out,blocks in,blocks out,Interrupts per second,Context Switches per second,User CPU time,System CPU time,avg latency
0.76,3.437,30.069,7782.4,195.995,1.55,248.983,10.46,1168137.33,104784,3714.67,235792,10036.17,87954.33,49237.83,88112.17,10993.67,12748.67,15.83,68.5,1.7
0.89,2.264,31.626,8852.48,275.877,2.03,321.82,10.5,1054831.33,136086.67,2135.33,255838,316.33,89211,33783.33,89392.17,7999.17,7347.67,17,68,1.35
0.92,3.102,11.377,19121.152,252.17,1.25,303.017,12.03,1095706,1702222.67,2116,281824.67,32306.83,43283.17,73755,43841,7649.5,11319,28.83,56,1.32
0.91,2.376,14.627,8076.288,270.282,1.23,313.461,11.26,1171800,128591.33,2681.33,191448.67,1015.5,73570.67,34275,73963.33,8076.5,8098.5,32,52.67,1.24
0.82,2.706,18.988,9110.528,256.107,1.05,296.477,10.86,1613062,104582,5110,258499.33,8180.17,144658.67,45522.33,144829.83,12450.33,9451.83,16.67,67.83,1.09
0.86,2.432,25.01,7383.04,243.038,1.35,269.934,11.97,1160566.67,103530,4398.67,236302,699.33,92527.5,40166.67,92758,8340.67,8946.33,19.33,66.17,0.94
0.85,4.25,11.563,28974.08,300.668,1.06,335.838,13.64,1015009.33,3553013.33,4146.67,248657.33,5388.33,5893.33,47512.33,6106.5,8312,18578,14.83,69.17,0.91
0.84,3.425,18.334,6629.376,238.993,1.53,275.612,11.83,1712802,126344.67,5379.33,310448.67,35786.17,108012.67,64434.5,108178.33,10771.17,10444.67,13.17,67.17,0.9
0.8,3.778,17.948,5359.616,218.959,1.55,256.801,12.79,1019320,112765.33,6100,252135.33,18897.67,70321.67,57783,70508.17,8860.17,11153.67,19.17,66.17,0.88
0.95,2.999,20.004,5806.08,311.054,1.33,370.254,11.04,907109.33,904820.67,5243.33,217748,2361,23064,44309.67,23222.5,6542.33,9286,28.83,57.17,0.86
0.9,2.237,13.23,17982.464,319.15,0.69,331.664,13.85,1464251.33,3042883.33,13015.33,428070.67,222.33,126812.33,325.33,126956.17,4925.67,7407.5,22.33,62.67,0.82
0.72,11.632,16.92,10855.424,239.167,1.2,275.816,11.62,1358706,105788.67,4452,241933.33,11938.33,125424.33,54816.67,126118.33,13017.17,28208,11,73,0.8
0.86,3.401,16.786,7606.272,286.509,1.04,323.203,12.4,1233936.67,678604.67,4916.67,275784,26048.33,65719.33,61262.33,65911.67,9774.67,12245.17,14.83,67.5,0.75
0.8,2.571,25.122,7291.904,225.316,1.2,242.688,12.51,1368096.67,102173.33,4953.33,230401.33,1831.83,120778.33,43540.67,120958,9721.33,9515.33,11.33,73.17,0.75
0.77,4.767,26.85,8275.968,228.459,1.33,268.993,11.27,1375912.67,101940.67,4184.67,244574,1265.83,138701,38964,138900.33,11988.67,14428.67,13.33,72.17,0.73
0.8,3.546,25.634,5921.792,253.094,1.32,271.569,13.95,1054493.33,107820,4674,260360.67,29957.67,77247.83,63536.33,77431.5,9700.83,11674.17,8.83,73.17,0.7
0.8,2.86,15.404,10158.08,274.895,1.02,306.669,12.4,1705824,102011.33,4314.67,258584.67,1734.67,150312,36397.33,150493.67,16136.5,8977,9.17,73.67,0.66
0.83,2.861,17.616,23734.272,283.886,1.11,314.919,14.14,1002860.67,992674.67,5891.33,273758,9194.83,5028.5,35604.67,5176.17,6633.83,10989.67,24.83,59.5,0.61
0.88,2.594,15.962,8528.896,256.37,1.35,297.089,11.2,1102272.67,103316,4345.33,224413.33,8954.33,83464.83,30316.5,83576,8677.83,8439.5,28,56.67,0.6
0.86,3.624,20.224,9701.376,254.349,1.61,294.728,13.39,973328.67,1697456,3426,262452,19718.83,25451.67,62680.33,25594,8685.33,12388.5,24.83,58.83,0.59
0.96,1.751,11.151,26264.576,301.35,1.05,353.166,12.81,1142292,1537164,3319.33,314572,451.33,92346.67,11544,92479.83,4170.17,6077,48.33,36.83,0.58
0.9,2.622,16.496,13005.824,305.291,1.11,339.982,14.07,888280.67,1717196.67,4506.67,247120.67,2666.17,10674.5,27162.17,10830.33,5717.17,9140.17,24.17,60.83,0.58
0.85,2.164,6.2,964.27,339.322,0.98,357.613,15.61,1003335.33,6497109.33,6711.33,356606,895.5,238,17135.17,373.17,4142,6932.33,47.17,38.33,0.57
1.2,2.262,10.597,15184.896,351.374,2.39,507.608,7.67,891382.67,5560184,17462.67,865394,488.17,158.5,16636.5,24128,4218.17,8010,54.67,30.83,0.55
0.87,2.068,16.3,20166.656,300.157,0.83,319.13,15.06,1046592,440528,3978,314552,137.33,71772.83,10319,71912.67,8987.17,7190.17,22,63.67,0.55
1.15,2.153,10.901,12509.184,385.039,0.7,486.921,10.16,1137944,5349016,9918.67,366774.67,117,80511.83,208,80640.33,4559.5,6862.33,38.67,47.5,0.54
0.96,1.285,2.374,43803.648,370.241,0.82,390.952,15.96,870085.33,4569260,12738.67,395124.67,45.67,192,71.83,344.5,2680.5,4864.33,40.83,45.17,0.53
0.8,2.669,21.032,8455.168,250.739,1.06,276.985,12.25,1365720.67,103027.33,3732,221432.67,900.17,129313,44669.33,129473.33,9919,9158.83,8.83,75.33,0.49
0.67,2.61,6.407,935.473,281.135,0.79,276.927,17.67,942947.33,6364344.67,8191.33,368634,970.67,240.67,15981.5,396.5,4977.17,9287,34.67,49.83,0.49
0.93,2.318,21.512,12527.616,285.711,0.98,313.742,13.83,1186446,3651506,6580.67,411433.33,727.5,98584.33,1038.83,98747.5,5201.67,7920.33,35.5,50.5,0.49
1.08,1.54,17.736,726.216,330.272,0.86,433.946,9.97,1465423.33,2546560,12737.33,364049.33,35.67,130577.17,59.33,130741.67,3844.17,5446.83,42.33,43.67,0.48
0.77,2.19,5.33,762.041,307.397,0.94,324.12,15.9,941508,6436688,7204,316616.67,187,215,17109.83,350.17,4275.83,7819,50.33,35.83,0.48
0.96,2.464,15.057,13769.728,291.655,0.96,330.014,12.47,1436368.67,3734250.67,7154,356270,35.83,119241,60.5,119417.33,5332,8610.17,40.83,45.33,0.45
1.15,1.642,7.994,13580.288,445.616,0.58,511.284,11.25,941844,6078746.67,4828,399482,107.5,22058,195.17,22188.5,3869.17,6176.33,35.33,50.33,0.45
1.08,2.349,15.713,10496,293.943,0.98,402.529,9.53,1044127.33,6087550.67,8974.67,387360.67,793.83,62786.67,1981.33,62961.83,6212,8230.83,47,38,0.44
1.22,1.782,8.866,9695.232,405.439,0.61,543.095,8.88,1461664.67,4218892.67,11388.67,456669.33,296.5,85528.67,366.67,85695.33,4377.33,6904.67,37.17,48.33,0.44
0.81,2.393,8.411,902.351,293.809,1,311.604,15.74,947730,6452329.33,2470.67,331107.33,767.5,235.33,19033.5,381.17,4594.33,8234.67,46.33,40,0.44
0.78,1.8,6.453,919.085,334.758,0.92,345.144,15.74,1010454.67,6408774,8073.33,340760,524.67,107.83,19357,251.5,3925.67,6699,45,39.33,0.43
1.15,2.05,3.619,23964.672,305.574,1.13,591.03,8.51,893746,2763525.33,12032,447220,51.83,91,65.5,242.67,3580.5,6913.83,59.83,25.33,0.43
0.66,11.942,18.648,17848.32,184.614,1.77,238.917,13.16,1300081.33,1459686,5287.33,301622.67,16551.17,73288.5,55532.33,73469.83,15087.33,28389.17,12.67,71.33,0.43
1.18,1.831,2.949,20166.656,454.571,0.59,565.651,10.88,858884,5017680.67,7046.67,419103.33,128.83,213.5,216.33,374.67,3713.83,6679.33,32.67,52.83,0.43
0.88,2.501,25.029,11054.08,276.949,1.18,303.055,12.32,1047871.33,200884.67,3433.33,230585.33,1186.83,84634.33,47164.33,84794.33,7325.17,7981.17,14.5,70.83,0.42
0.92,5.7,3.864,23187.456,345.196,0.88,383.022,14.96,697344,3705268,27140.67,645686.67,13.33,55.67,28.83,223.33,10178.67,23496.67,33,51,0.41
1.23,1.484,3.913,19963.904,351.206,0.92,611.051,7.95,959705.33,4277019.33,11210,424182.67,78.5,131.5,98,353.33,3006.83,5247.83,60,25.5,0.4
1.45,2.295,9.489,6008.832,436.21,0.46,813.455,6.13,939526.67,4560150,10731.33,402436,90.67,143.17,375.17,299.67,4307.83,8023.5,43,42.17,0.4
0.97,1.956,8.199,22639.616,350.661,0.84,393.596,14.23,697344,3433674,28237.33,646883.33,10.67,55.5,20.17,203.17,3664.83,6916.33,38.67,45.83,0.39
