ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st,min,max,avg,samples/s
0.81,1.974,5.498,684.97,363.96,0.96,389.642,15.19,10.83,0.0,708485.33,5807242.0,24601.33,645804.0,16.0,105.67,43.5,233.83,3530.67,6809.33,50.67,33.5,15.5,0.0,0.0,0,2,0.19,97
1.15,2.141,3.949,13237.248,503.305,0.72,586.431,10.88,10.83,0.0,708656.0,5687731.33,24988.67,645143.33,10.67,54.83,42.17,192.5,3505.67,7591.67,48.83,34.83,16.17,0.0,0.0,0,1,0.2,97
1.23,2.303,3.994,838.753,456.065,0.7,709.134,8.54,11.17,0.0,708720.0,5037973.33,25306.67,647998.67,10.67,55.0,30.17,246.67,4033.67,8205.5,46.83,37.5,15.67,0.0,0.0,0,3,0.26,97
1.11,2.211,3.861,17397.76,386.062,0.84,509.648,10.72,10.67,0.0,697344.0,5023612.67,25582.67,646166.67,8.0,55.83,17.5,184.67,3484.67,7485.5,48.83,36.0,15.5,0.0,0.0,0,4,0.22,97
1.11,1.581,3.454,15767.552,373.93,0.8,499.083,10.98,11.67,0.17,697344.0,4769723.33,25859.33,648169.33,10.0,55.83,20.17,165.33,2643.33,5343.67,47.5,36.83,15.67,0.0,0.0,0,2,0.16,97
1.11,2.05,4.156,11128.832,356.198,0.88,548.373,9.87,10.83,0.17,697344.0,4009834.0,26184.0,645570.67,10.0,55.67,50.17,186.67,3702.5,6923.5,47.67,36.67,15.67,0.0,0.0,0,6,0.31,97
0.96,2.006,4.66,29067.264,343.684,0.89,425.442,13.92,10.33,0.0,697344.0,4322690.0,26449.33,645644.0,12.67,55.67,21.5,187.33,3436.67,6689.83,39.17,45.17,15.67,0.0,0.0,0,3,0.28,96
0.98,2.263,4.12,25951.232,346.131,0.89,432.167,13.63,11.17,0.0,697344.0,3726904.0,26806.67,645685.33,13.33,55.67,22.17,226.0,3438.67,6738.5,41.33,43.17,15.83,0.0,0.0,0,5,0.22,96
0.92,5.7,3.864,23187.456,345.196,0.88,383.022,14.96,9.33,0.17,697344.0,3705268.0,27140.67,645686.67,13.33,55.67,28.83,223.33,10178.67,23496.67,33.0,51.0,16.0,0.0,0.0,0,19,0.41,96
0.96,1.873,7.236,25050.112,365.251,0.85,393.557,14.66,11.17,0.0,697344.0,4499636.0,27484.0,645702.67,10.0,55.67,18.83,196.0,3551.5,6909.5,40.5,44.33,15.5,0.0,0.0,0,1,0.22,96
1.01,2.117,7.489,10937.344,366.732,0.81,418.701,13.58,12.67,0.0,697344.0,2411828.67,27847.33,647364.0,13.33,55.67,26.83,232.5,3643.17,7030.5,39.83,44.83,15.33,0.0,0.0,0,3,0.31,97
0.97,1.956,8.199,22639.616,350.661,0.84,393.596,14.23,11.33,0.0,697344.0,3433674.0,28237.33,646883.33,10.67,55.5,20.17,203.17,3664.83,6916.33,38.67,45.83,15.33,0.0,0.0,0,5,0.39,95
0.98,2.011,7.237,14205.952,333.415,0.89,372.945,14.39,11.0,0.0,701781.33,1290282.67,28157.33,623330.67,20.0,1836.17,139.5,2006.5,3820.17,6428.33,39.17,45.17,15.67,0.0,0.0,0,1,0.18,97
0.72,17.089,6.036,21679.104,214.915,1.3,265.402,15.46,10.67,0.0,718588.0,696282.67,25205.33,549030.67,72.0,6465.5,500.5,6624.5,24563.5,59465.5,20.5,62.67,17.33,0.0,0.0,0,2,0.21,97
0.89,2.454,14.958,24642.56,308.246,1.17,335.789,14.03,12.33,0.17,795920.0,793750.67,2278.0,289334.0,328.33,18754.0,28085.5,18914.33,5311.33,9222.67,29.5,54.17,15.67,0.17,0.0,0,1,0.19,97
0.88,2.406,16.176,22668.288,294.519,0.95,322.898,13.83,12.83,0.0,931850.0,645720.67,5638.0,265772.0,1884.67,28363.83,20526.5,28518.17,5626.0,8695.0,28.17,56.5,15.5,0.17,0.0,0,5,0.26,97
0.67,2.032,7.407,810.882,308.265,0.78,299.03,17.17,6.83,0.33,936148.0,6343877.33,7862.0,350148.67,375.67,91.17,15870.5,246.17,4251.33,7785.17,35.17,47.33,17.0,0.33,0.0,0,4,0.28,97
