min,max,avg,samples/s
0,2,0.19,97
0,1,0.20,97
0,3,0.26,97
0,4,0.22,97
0,2,0.16,97
0,6,0.31,97
0,3,0.28,96
0,5,0.22,96
0,19,0.41,96
0,1,0.22,96
0,3,0.31,97
0,5,0.39,95
0,1,0.18,97
0,2,0.21,97
0,1,0.19,97
0,5,0.26,97
0,4,0.28,97
0,1,0.25,97
0,6,0.21,96
0,4,0.18,97
0,1,0.19,98
0,5,0.20,97
0,5,0.23,97
0,1,0.12,96
0,1,0.07,97
0,2,0.14,97
0,1,0.15,98
0,3,0.16,97
0,2,0.20,96
0,12,0.70,90
0,3,0.25,97
0,17,0.49,93
0,1,0.14,96
0,4,0.19,97
0,1,0.10,98
0,2,0.14,97
0,9,0.31,96
0,1,0.14,95
0,4,0.26,94
0,1,0.14,97
0,4,0.23,96
0,3,0.34,95
0,4,0.24,96
0,4,0.20,96
0,5,0.16,93
0,1,0.09,98
0,3,0.23,97
0,7,0.32,95
0,23,0.43,95
0,1,0.14,98
0,1,0.08,97
0,1,0.14,97
0,2,0.25,97
0,2,0.18,94
0,2,0.28,96
0,1,0.11,97
0,4,0.22,97
0,3,0.25,97
0,5,0.19,96
0,5,0.39,93
0,3,0.20,97
0,1,0.11,97
0,1,0.10,98
0,25,0.61,93
0,18,0.39,92
0,3,0.23,94
0,1,0.12,97
0,1,0.15,98
0,2,0.11,99
0,4,0.29,93
0,4,0.39,95
0,1,0.19,96
0,4,0.29,93
0,1,0.07,97
0,1,0.20,97
0,2,0.22,96
0,10,0.31,95
0,5,0.37,94
0,6,0.22,98
0,2,0.16,97
0,4,0.10,97
0,2,0.26,97
0,1,0.17,98
0,1,0.16,96
0,1,0.11,97
0,1,0.16,97
0,2,0.32,96
0,1,0.19,94
0,2,0.17,98
0,1,0.43,94
0,1,0.19,97
0,1,0.19,95
0,1,0.11,96
0,3,0.22,97
0,27,0.60,93
0,23,0.58,92
0,13,0.36,96
0,5,0.28,97
0,1,0.18,97
0,3,0.23,97
0,1,0.20,97
0,3,0.26,95
0,1,0.10,97
0,1,0.16,98
0,1,0.18,97
0,1,0.31,95
0,1,0.10,98
0,6,0.15,97
0,1,0.26,98
0,2,0.27,97
0,21,0.90,90
0,34,0.66,93
0,9,0.27,97
0,9,0.38,95
0,1,0.13,97
0,4,0.22,95
0,5,0.25,95
0,1,0.08,97
0,1,0.09,96
0,5,0.37,92
0,2,0.21,97
0,1,0.11,98
0,1,0.13,93
0,4,0.18,93
0,2,0.15,97
0,27,1.32,84
0,7,0.30,96
0,36,1.09,87
0,2,0.21,98
0,1,0.24,97
0,1,0.14,98
0,1,0.13,97
0,1,0.18,97
0,4,0.22,96
0,5,0.28,97
0,1,0.07,97
0,1,0.15,97
0,1,0.06,99
0,1,0.22,96
0,1,0.29,95
0,1,0.15,96
0,4,0.27,97
0,49,1.70,83
0,7,0.21,96
0,20,0.34,95
0,6,0.44,94
0,2,0.14,97
0,2,0.24,96
0,2,0.20,96
0,3,0.25,97
0,2,0.40,93
0,1,0.23,96
0,8,0.38,96
0,2,0.19,97
0,3,0.24,97
0,1,0.13,97
0,2,0.23,97
0,1,0.17,98
0,4,0.12,97
0,30,1.24,84
0,4,0.25,97
0,2,0.11,97
0,2,0.12,98
0,1,0.22,93
0,4,0.21,97
0,4,0.28,95
0,1,0.12,98
0,3,0.29,94
0,2,0.20,96
0,1,0.09,99
0,1,0.11,93
0,1,0.08,98
0,1,0.10,98
0,2,0.19,96
0,10,0.35,96
0,7,0.32,96
0,3,0.16,98
0,2,0.28,97
0,3,0.20,97
0,7,0.31,96
0,8,0.40,96
0,3,0.27,96
0,1,0.21,97
0,1,0.05,94
0,1,0.14,96
0,4,0.27,95
0,1,0.24,97
0,6,0.31,95
0,2,0.31,98
0,4,0.23,97
0,8,0.43,93
0,21,0.80,88
0,1,0.06,98
0,3,0.21,97
0,1,0.18,97
0,2,0.25,95
0,1,0.07,98
0,5,0.44,95
0,1,0.14,97
0,1,0.16,95
0,2,0.22,97
