ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.81,1.974,5.498,684.97,363.960,0.96,389.642,15.19
1.15,2.141,3.949,13237.248,503.305,0.72,586.431,10.88
1.23,2.303,3.994,838.753,456.065,0.70,709.134,8.54
1.11,2.211,3.861,17397.76,386.062,0.84,509.648,10.72
1.11,1.581,3.454,15767.552,373.930,0.80,499.083,10.98
1.11,2.050,4.156,11128.832,356.198,0.88,548.373,9.87
0.96,2.006,4.660,29067.264,343.684,0.89,425.442,13.92
0.98,2.263,4.120,25951.232,346.131,0.89,432.167,13.63
0.92,5.700,3.864,23187.456,345.196,0.88,383.022,14.96
0.96,1.873,7.236,25050.112,365.251,0.85,393.557,14.66
1.01,2.117,7.489,10937.344,366.732,0.81,418.701,13.58
0.97,1.956,8.199,22639.616,350.661,0.84,393.596,14.23
0.98,2.011,7.237,14205.952,333.415,0.89,372.945,14.39
0.72,17.089,6.036,21679.104,214.915,1.30,265.402,15.46
0.89,2.454,14.958,24642.56,308.246,1.17,335.789,14.03
0.88,2.406,16.176,22668.288,294.519,0.95,322.898,13.83
0.67,2.032,7.407,810.882,308.265,0.78,299.03,17.17
1.11,1.973,9.494,18533.376,413.416,0.57,504.194,11.03
1.14,2.177,6.788,23220.224,443.490,0.52,537.042,11.17
1.33,2.249,6.871,5975.04,463.997,0.47,763.143,7.50
1.24,19.244,5.308,10112.0,327.668,0.53,627.947,5.96
1.13,1.782,4.706,22333.44,412.429,0.57,565.244,10.47
1.14,1.845,5.475,14180.352,389.274,0.62,593.318,10.00
1.14,1.880,4.368,21996.544,390.134,0.60,647.755,9.48
1.09,1.468,5.039,26431.488,352.421,0.67,609.357,10.22
0.84,19.514,4.981,24090.624,180.403,1.04,378.587,10.18
0.63,19.514,4.663,47070.208,183.398,1.09,248.796,17.45
0.85,1.791,5.080,47015.936,366.763,0.66,358.06,17.93
0.90,2.243,7.952,36092.928,363.401,0.63,375.137,15.96
0.80,3.546,25.634,5921.792,253.094,1.32,271.569,13.95
0.84,3.132,15.026,13150.208,292.658,0.79,316.692,14.43
0.80,2.669,21.032,8455.168,250.739,1.06,276.985,12.25
0.74,2.137,5.066,831.79,319.506,0.84,322.058,16.52
1.15,1.664,4.535,17047.552,438.797,0.58,508.522,10.94
1.27,2.457,5.200,4124.672,423.313,0.62,679.47,7.94
1.29,2.356,3.450,3712.0,478.906,0.56,759.464,7.75
