r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
10.83,0.00,708485.33,5807242.00,24601.33,645804.00,16.00,105.67,43.50,233.83,3530.67,6809.33,50.67,33.50,15.50,0.00,0.00
10.83,0.00,708656.00,5687731.33,24988.67,645143.33,10.67,54.83,42.17,192.50,3505.67,7591.67,48.83,34.83,16.17,0.00,0.00
11.17,0.00,708720.00,5037973.33,25306.67,647998.67,10.67,55.00,30.17,246.67,4033.67,8205.50,46.83,37.50,15.67,0.00,0.00
10.67,0.00,697344.00,5023612.67,25582.67,646166.67,8.00,55.83,17.50,184.67,3484.67,7485.50,48.83,36.00,15.50,0.00,0.00
11.67,0.17,697344.00,4769723.33,25859.33,648169.33,10.00,55.83,20.17,165.33,2643.33,5343.67,47.50,36.83,15.67,0.00,0.00
10.83,0.17,697344.00,4009834.00,26184.00,645570.67,10.00,55.67,50.17,186.67,3702.50,6923.50,47.67,36.67,15.67,0.00,0.00
10.33,0.00,697344.00,4322690.00,26449.33,645644.00,12.67,55.67,21.50,187.33,3436.67,6689.83,39.17,45.17,15.67,0.00,0.00
11.17,0.00,697344.00,3726904.00,26806.67,645685.33,13.33,55.67,22.17,226.00,3438.67,6738.50,41.33,43.17,15.83,0.00,0.00
9.33,0.17,697344.00,3705268.00,27140.67,645686.67,13.33,55.67,28.83,223.33,10178.67,23496.67,33.00,51.00,16.00,0.00,0.00
11.17,0.00,697344.00,4499636.00,27484.00,645702.67,10.00,55.67,18.83,196.00,3551.50,6909.50,40.50,44.33,15.50,0.00,0.00
12.67,0.00,697344.00,2411828.67,27847.33,647364.00,13.33,55.67,26.83,232.50,3643.17,7030.50,39.83,44.83,15.33,0.00,0.00
11.33,0.00,697344.00,3433674.00,28237.33,646883.33,10.67,55.50,20.17,203.17,3664.83,6916.33,38.67,45.83,15.33,0.00,0.00
11.00,0.00,701781.33,1290282.67,28157.33,623330.67,20.00,1836.17,139.50,2006.50,3820.17,6428.33,39.17,45.17,15.67,0.00,0.00
10.67,0.00,718588.00,696282.67,25205.33,549030.67,72.00,6465.50,500.50,6624.50,24563.50,59465.50,20.50,62.67,17.33,0.00,0.00
12.33,0.17,795920.00,793750.67,2278.00,289334.00,328.33,18754.00,28085.50,18914.33,5311.33,9222.67,29.50,54.17,15.67,0.17,0.00
12.83,0.00,931850.00,645720.67,5638.00,265772.00,1884.67,28363.83,20526.50,28518.17,5626.00,8695.00,28.17,56.50,15.50,0.17,0.00
6.83,0.33,936148.00,6343877.33,7862.00,350148.67,375.67,91.17,15870.50,246.17,4251.33,7785.17,35.17,47.33,17.00,0.33,0.00
9.17,0.17,944702.00,6073060.67,9172.00,381102.00,381.67,9644.67,1403.67,9821.67,3643.33,6533.50,27.17,56.00,17.00,0.00,0.00
7.83,0.00,933665.33,5733240.00,9556.00,391446.00,267.00,58.83,406.33,159.00,3937.83,7591.17,25.33,57.50,17.50,0.00,0.00
6.50,0.00,932001.33,5100596.67,9836.00,390911.33,633.67,58.67,858.17,145.67,4119.50,7960.33,32.17,50.50,17.33,0.00,0.00
7.00,0.00,911652.00,4830926.67,10087.33,403705.33,61.00,59.50,186.33,198.50,25058.83,61674.83,24.17,56.83,19.33,0.00,0.00
8.00,0.00,910884.00,4735832.67,10578.67,413340.67,29.00,59.50,71.00,202.50,3429.17,6450.33,30.83,52.33,16.83,0.00,0.00
7.83,0.00,910628.00,4109693.33,11085.33,416800.67,45.67,59.50,76.17,239.00,3515.83,6773.67,29.33,54.00,16.83,0.00,0.00
8.17,0.00,910372.00,3716599.33,11392.00,417081.33,24.33,59.33,82.33,206.33,3632.33,6911.67,31.67,52.00,16.33,0.00,0.00
7.17,0.50,910116.00,3254154.00,11743.33,415282.67,40.33,59.33,76.33,213.00,2763.33,5025.00,27.17,56.33,16.83,0.00,0.00
6.17,0.00,907772.00,3378868.67,12092.00,420756.67,85.00,60.00,140.33,202.33,27548.17,65172.00,19.50,60.00,20.50,0.17,0.00
